	MF.alv.Lu#2	MF.alv.Lu#3	MF.alv.Lu.KPd28#1	MF.alv.Lu.KPd28#2	MF.alv.Lu.KPd17#1	MF.alv.Lu.KPd28#3
Rnf148	1	0	0	0	0	0
Rnf149	83	131	171	81	84	167
Rnf150	2	4	8	1	8	9
Rnf151	4	1	0	0	2	1
Rnf152	3	8	3	0	3	2
Rnf157	38	43	30	22	22	40
Rnf165	2	1	1	0	0	1
Rnf166	194	322	302	187	244	146
Rnf167	232	326	267	150	235	115
Rnf168	82	119	70	49	82	34
Rnf169	59	85	122	84	58	98
Rnf17	26	41	35	12	35	20
Rnf170	29	37	38	17	23	28
Rnf180	461	675	776	287	418	266
Rnf181	40	80	48	25	42	23
Rnf182	1	2	2	3	0	2
Rnf183	0	2	1	0	1	0
Rnf185	132	194	257	148	147	107
Rnf186	0	0	0	0	1	2
Rnf187	490	1079	968	477	637	416
Rnf19a	150	148	158	71	147	65
Rnf19b	29	65	82	23	49	53
Rnf2	87	92	133	62	88	80
Rnf20	276	312	454	129	279	193
Rnf207	4	0	1	0	0	6
Rnf208	0	0	0	1	0	1
Rnf212	2	1	1	1	0	3
Rnf212b	0	0	2	0	1	0
Rnf213	174	223	256	74	189	153
Rnf214	100	111	114	52	58	32
Rnf215	29	29	34	21	16	38
Rnf216	289	264	253	93	208	104
Rnf217	28	52	70	22	46	45
Rnf219	43	59	57	20	49	26
Rnf220	63	91	75	35	72	100
Rnf222	0	1	2	0	0	3
Rnf223	2	0	1	0	1	2
Rnf224	0	0	0	0	0	0
Rnf225	0	2	8	0	2	2
Rnf24	20	21	30	11	22	7
Rnf25	36	55	47	18	40	31
Rnf26	0	2	0	0	1	2
Rnf31	117	146	157	58	125	87
Rnf32	3	5	6	1	1	2
Rnf34	131	227	263	119	143	97
Rnf38	105	144	171	63	118	106
Rnf39	0	0	1	0	2	4
Rnf4	283	402	480	205	337	188
Rnf40	134	149	162	71	117	82
Rnf41	167	250	308	100	159	98
Rnf43	1	0	1	1	1	4
Rnf44	164	214	169	116	101	131
Rnf5	97	124	119	37	70	69
Rnf6	297	370	393	172	294	173
Rnf7	171	232	220	103	137	158
Rnf8	15	10	18	10	15	8
Rnft1	427	535	648	293	461	198
Rnft2	1	3	1	3	6	4
Rngtt	154	163	194	74	119	85
Rnh1	3474	4695	4532	2458	3011	2137
Rnls	12	36	23	17	19	11
Rnmt	176	215	235	108	171	129
Rnpc3	60	86	73	44	36	34
Rnpep	755	1067	898	415	613	426
Rnpepl1	208	375	370	148	225	187
Rnps1	58	70	67	36	40	41
Robo1	0	8	3	0	2	1
Robo2	17	11	17	6	9	6
Robo3	1	3	1	0	0	3
Robo4	1	0	1	0	0	0
Rock1	174	284	325	156	190	293
Rock2	247	337	344	132	242	217
Rogdi	55	86	58	36	41	40
Rom1	11	13	24	12	17	9
Romo1	52	124	91	30	63	77
Ropn1	0	1	0	0	0	0
Ropn1l	5	8	6	2	0	7
Ror1	0	1	0	0	1	4
Ror2	0	5	0	2	1	1
Rora	203	179	269	121	192	123
Rorb	3	4	2	1	1	4
Rorc	2	5	4	0	3	1
Ros1	1	3	5	1	3	10
Rp1	7	0	1	0	4	8
Rp1l1	1	1	1	0	0	3
Rp2	605	534	719	268	562	219
Rp9	111	180	129	67	98	89
Rpa1	314	352	414	165	283	148
Rpa2	86	106	130	60	61	87
Rpa3	64	99	71	24	56	46
