	Mo.Ly6C-.Lu#1	Mo.Ly6C-.Lu#2	Mo.Ly6C-.Lu#3	Mo.Ly6C-.Lu.KPd17#1	Mo.Ly6C-.Lu.KPd17#2	Mo.Ly6C-.Lu.KPd28#1	Mo.Ly6C-.Lu.KPd28#2	Mo.Ly6C-.Lu.KPd28#3
Fam45a	385	293	370	330	322	347	217	231
Fam46a	910	523	1154	679	638	875	275	303
Fam46b	0	2	1	0	0	1	3	0
Fam46c	9	43	10	41	109	4	90	128
Fam46d	0	3	3	0	0	0	2	0
Fam47c	2	0	1	2	0	0	0	1
Fam47e	4	2	2	3	8	0	0	2
Fam49a	4503	3084	3802	3461	2336	4558	518	575
Fam49b	3887	2274	1448	3229	2277	2067	1023	1718
Fam50a	321	252	305	194	226	324	139	213
Fam50b	1	0	0	1	0	0	0	0
Fam53a	263	163	194	174	96	242	130	108
Fam53b	201	212	206	236	189	397	130	167
Fam53c	136	168	141	140	83	267	86	76
Fam57a	17	13	13	11	0	11	11	7
Fam57b	1	1	4	2	3	1	0	0
Fam58b	99	88	97	73	65	67	56	73
Fam60a	14	18	23	24	8	22	8	9
Fam69a	1011	795	649	829	584	1477	260	225
Fam69b	3	2	5	8	7	3	1	3
Fam69c	0	4	2	0	0	0	1	0
Fam71a	1	3	8	6	9	0	4	0
Fam71b	3	4	2	2	2	1	2	0
Fam71d	9	0	6	3	8	0	1	0
Fam71e1	13	5	8	1	7	4	3	4
Fam71e2	1	1	3	1	1	0	1	1
Fam71f1	9	0	10	1	0	0	0	0
Fam71f2	0	4	0	1	1	1	2	0
Fam72a	4	7	7	3	3	5	3	4
Fam76a	199	113	121	151	102	170	104	107
Fam76b	209	142	177	218	131	162	141	78
Fam78a	184	153	156	130	118	148	85	79
Fam78b	43	4	28	21	14	5	14	32
Fam81a	8	4	18	1	8	0	1	2
Fam81b	3	3	5	6	0	0	0	1
Fam83a	7	13	6	4	3	3	0	0
Fam83b	6	8	3	3	8	0	3	0
Fam83c	0	1	5	3	1	0	0	4
Fam83d	2	9	13	5	0	7	14	12
Fam83e	2	1	0	2	1	2	4	0
Fam83f	0	2	7	10	8	20	7	13
Fam83g	0	15	3	2	3	0	5	1
Fam83h	5	1	0	3	1	0	3	3
Fam84a	1	3	2	10	6	2	0	1
Fam84b	21	16	22	25	39	94	17	17
Fam89a	5	12	14	5	2	3	1	2
Fam89b	0	4	0	2	0	0	0	0
Fam8a1	32	14	30	5	11	47	20	14
Fam90a1a	6	1	2	6	10	0	0	0
Fam90a1b	17	1	6	8	0	6	3	1
Fam91a1	336	169	257	197	184	333	195	150
Fam92a	14	11	16	20	10	18	19	12
Fam92b	10	6	0	1	1	1	0	0
Fam96a	644	405	317	381	313	911	468	509
Fam96b	135	71	93	97	77	103	38	54
Fam98a	63	57	85	40	46	89	47	70
Fam98b	27	33	18	31	10	29	21	7
Fam98c	113	82	81	79	93	64	22	37
Fan1	35	31	17	9	8	17	14	9
Fanca	149	82	117	96	59	118	49	27
Fancb	29	24	24	2	8	15	13	6
Fancc	54	77	73	84	54	69	36	55
Fancd2	25	23	18	21	26	18	25	24
Fancd2os	1	0	1	0	0	0	0	0
Fance	116	90	57	89	56	30	39	76
Fancf	5	4	2	2	4	3	1	3
Fancg	155	99	109	101	96	105	81	83
Fanci	9	5	21	18	7	6	7	19
Fancl	78	67	63	78	58	130	40	68
Fancm	45	19	59	28	27	16	41	39
Fank1	5	0	0	4	3	0	2	0
Fap	11	31	38	5	14	3	14	4
Far1	1253	1088	1050	1108	851	1767	480	584
Far2	25	24	22	28	12	19	18	5
Farp1	52	56	30	44	27	46	5	10
Farp2	46	47	38	50	33	36	28	39
Fars2	158	120	103	164	76	238	73	85
Farsa	331	304	263	260	254	425	204	283
Farsb	210	198	154	215	146	276	208	265
Fas	106	95	87	97	80	248	59	64
Fasl	12	0	3	3	0	42	0	0
Fasn	213	193	175	233	95	276	164	144
Fastk	274	129	141	178	187	169	141	151
Fastkd1	26	13	71	46	62	41	35	25
Fastkd2	111	109	105	108	65	121	65	100
Fastkd3	40	35	73	62	39	75	29	60
Fastkd5	42	42	38	19	42	50	14	20
Fat1	7	26	23	26	16	16	0	4
Fat2	16	9	25	12	4	6	1	5
Fat3	25	32	28	35	8	13	7	11
Fat4	11	28	15	30	12	10	3	11
Fate1	0	3	2	0	0	0	1	0
Fau	966	634	716	597	571	1091	368	556
Faxc	10	4	3	19	0	4	7	1
Fbf1	61	73	87	57	50	118	43	37
Fbl	60	37	34	48	42	56	35	34
Fblim1	10	21	25	31	48	1	105	150
Fbll1	0	0	0	1	0	0	0	0
Fbln1	1	8	4	7	3	0	0	1
Fbln2	2	2	11	3	5	0	0	4
Fbln5	14	19	3	11	12	6	4	2
Fbln7	0	1	12	3	2	3	0	1
Fbn1	13	18	21	14	9	0	8	6
Fbn2	8	22	17	30	7	7	5	5
Fbp1	1	0	4	1	3	0	2	0
Fbp2	4	1	0	4	3	0	0	1
Fbrs	296	196	242	189	170	231	72	71
Fbrsl1	136	95	77	102	105	71	22	33
Fbxl12	115	75	98	56	52	71	30	26
Fbxl13	2	5	7	7	4	5	2	0
Fbxl14	64	47	72	37	36	79	30	47
Fbxl15	28	30	14	28	20	21	12	23
Fbxl16	0	2	2	2	1	0	1	0
Fbxl17	104	84	101	66	55	61	47	32
Fbxl18	143	92	81	94	48	113	39	51
Fbxl19	7	10	3	9	5	13	5	3
Fbxl2	21	6	16	13	10	60	19	16
Fbxl20	305	262	224	412	306	337	158	142
Fbxl21	0	3	11	1	1	3	4	0
Fbxl22	12	6	11	12	4	28	3	8
Fbxl3	105	123	162	160	172	132	125	89
Fbxl4	156	114	141	86	74	158	132	81
Fbxl5	951	654	673	648	576	1363	912	1048
Fbxl6	351	266	282	256	149	364	174	134
Fbxl7	3	6	16	5	6	0	1	3
Fbxl8	86	50	58	78	60	90	29	21
Fbxo10	68	55	51	26	17	60	35	23
Fbxo11	255	188	229	222	193	316	184	112
Fbxo15	7	3	3	9	0	5	0	1
Fbxo16	6	1	7	9	2	0	0	1
Fbxo17	2	2	6	1	2	3	3	3
Fbxo18	561	470	404	379	277	731	384	383
Fbxo2	2	0	0	0	0	0	0	0
Fbxo21	89	93	104	66	59	140	74	72
Fbxo22	178	146	154	156	143	260	120	140
Fbxo24	5	0	1	8	2	2	0	0
Fbxo25	85	62	93	78	55	81	56	54
Fbxo27	0	0	2	4	0	3	1	0
Fbxo28	212	204	127	294	105	133	90	45
Fbxo3	296	366	418	390	245	586	248	260
Fbxo30	192	175	145	172	140	129	82	146
Fbxo31	23	43	39	18	24	47	31	22
Fbxo32	23	38	65	73	52	70	150	107
Fbxo33	111	80	103	79	62	137	31	35
Fbxo34	102	101	122	85	85	135	100	97
Fbxo36	5	8	7	5	5	8	5	7
Fbxo38	540	479	521	490	318	618	277	238
Fbxo39	1	1	6	0	0	12	1	0
Fbxo4	169	82	99	90	80	88	22	22
Fbxo40	37	39	28	33	28	34	9	11
Fbxo41	4	6	11	4	2	4	2	0
Fbxo42	251	137	204	176	125	323	204	190
Fbxo43	1	5	1	8	0	2	2	1
Fbxo44	6	8	0	1	7	0	13	11
Fbxo45	47	65	53	37	46	84	45	57
Fbxo46	138	137	133	89	79	148	25	46
Fbxo47	14	13	13	2	5	2	0	2
Fbxo48	8	4	2	8	1	6	0	6
Fbxo5	40	18	45	25	16	16	37	43
Fbxo6	118	130	107	81	92	95	82	80
Fbxo7	209	250	204	186	142	189	75	86
Fbxo8	148	113	185	126	102	140	103	103
Fbxo9	155	132	161	133	143	316	106	152
Fbxw10	21	15	24	33	3	9	7	7
Fbxw11	532	434	293	500	346	412	244	317
Fbxw13	0	0	9	1	1	2	0	0
Fbxw14	1	1	0	1	0	1	0	0
Fbxw15	0	1	3	0	2	0	0	2
Fbxw16	5	2	3	2	2	1	2	0
Fbxw17	39	48	40	90	68	86	62	76
Fbxw18	2	7	1	5	3	2	0	2
Fbxw19	7	9	1	9	0	0	0	1
Fbxw2	747	602	646	525	443	890	406	320
Fbxw20	2	9	5	5	3	2	0	1
Fbxw21	1	7	3	2	1	2	0	0
Fbxw22	4	4	5	4	1	2	0	1
Fbxw24	2	6	1	10	0	2	1	2
Fbxw25	5	2	10	3	3	0	1	0
Fbxw26	3	5	8	7	1	5	0	4
Fbxw27	0	6	1	5	4	2	1	1
Fbxw28	5	1	2	4	3	0	1	0
Fbxw4	8	29	32	28	18	23	12	14
Fbxw5	418	280	275	273	187	356	208	195
Fbxw7	124	82	108	91	65	104	55	59
Fbxw8	22	32	19	16	16	11	27	24
Fbxw9	34	40	35	7	29	42	30	23
Fcamr	4	3	2	0	0	1	1	0
Fcer1a	3	11	0	1	5	2	1	1
Fcer1g	12264	7580	8122	7602	6472	9869	4664	6073
Fcer2a	43	6	17	4	10	11	1	3
Fcf1	256	162	173	165	141	271	129	100
Fcgbp	18	11	6	5	3	0	2	2
Fcgr1	293	183	215	234	218	680	684	642
Fcgr2b	1565	1399	1197	1576	1402	2138	4294	4354
Fcgr3	1064	775	1204	1083	1014	2194	2853	3051
Fcgr4	3095	1873	2679	2014	1421	249	1251	1091
Fcgrt	876	767	842	724	517	373	592	615
Fcho1	134	107	89	67	91	86	65	48
Fcho2	1155	801	982	1313	844	1103	479	458
Fchsd1	18	24	35	13	28	9	6	9
Fchsd2	90	145	109	130	133	79	85	57
Fcmr	26	1	10	1	1	0	2	3
Fcna	2	26	28	35	11	5	63	405
Fcnb	0	1	7	0	0	9	0	1
Fcor	16	21	8	7	11	44	25	31
Fcrl1	188	123	153	137	76	74	19	15
Fcrl5	4	18	7	6	9	0	1	3
Fcrl6	3	7	4	2	0	5	1	4
Fcrla	13	5	7	6	8	0	2	5
Fcrlb	8	10	6	12	8	1	78	81
Fcrls	252	669	547	639	547	0	212	495
Fdft1	147	123	68	133	72	230	38	60
Fdps	19	39	29	28	29	41	12	21
Fdx1	23	32	11	29	22	32	42	35
Fdx1l	2	2	2	1	0	3	1	0
Fdxacb1	35	14	35	33	14	38	19	16
Fdxr	58	47	73	34	23	85	33	32
Fech	283	190	256	230	159	344	207	238
Fem1a	221	194	216	235	161	271	113	103
Fem1b	183	124	146	145	126	173	84	91
Fem1c	885	538	504	634	430	312	260	377
Fen1	1	2	2	2	2	3	0	3
Fer	35	60	58	48	64	22	20	37
Fer1l4	7	9	3	11	7	2	0	5
Fer1l5	43	26	54	37	30	55	17	17
Fer1l6	20	15	18	5	0	1	1	2
Ferd3l	1	0	0	0	1	0	0	0
Fermt1	17	4	3	2	2	0	0	3
Fermt2	18	11	17	15	1	1	4	4
Fermt3	2150	1652	1756	1713	1063	2231	1271	1337
Fes	2009	1883	1559	1478	1081	2929	1062	904
Fetub	0	6	0	6	2	0	3	0
Fev	0	1	0	0	0	1	0	0
Fez1	7	10	3	4	1	0	3	0
Fez2	164	121	160	154	133	200	194	189
Fezf1	0	3	4	1	0	0	0	1
Fezf2	1	0	0	6	2	3	0	0
Ffar1	7	4	9	13	7	0	3	1
Ffar2	4	2	3	4	1	1	20	18
Ffar3	3	2	1	9	1	0	0	0
Ffar4	19	19	19	14	15	5	1	3
Fga	0	1	2	0	2	0	0	0
Fgb	0	6	1	3	3	0	0	4
Fgd1	3	0	4	0	0	0	2	3
Fgd2	983	606	638	751	524	653	386	386
Fgd3	353	330	330	286	234	250	92	90
Fgd4	2022	1290	1576	1566	925	1629	354	315
Fgd5	5	10	4	7	4	1	2	0
Fgd6	17	34	35	69	22	47	65	65
Fgf1	9	9	9	6	0	0	0	4
Fgf10	10	29	3	9	11	2	1	6
Fgf11	3	3	5	5	15	6	1	0
Fgf12	11	46	20	4	6	7	7	10
Fgf13	5	1	0	4	3	0	19	21
Fgf14	1	6	3	5	4	5	1	0
Fgf15	0	4	3	4	0	0	0	0
Fgf16	2	1	4	1	1	0	1	2
Fgf17	0	0	4	0	1	3	0	0
Fgf18	2	1	0	1	0	0	0	1
Fgf2	17	4	26	20	11	13	10	9
Fgf20	0	0	2	0	1	0	0	2
Fgf21	0	0	2	0	1	2	0	0
Fgf22	4	1	0	6	1	1	0	1
Fgf23	0	2	1	0	3	1	1	0
Fgf3	1	1	2	0	2	0	0	0
Fgf4	2	2	3	0	2	0	1	2
Fgf5	0	2	1	3	0	6	0	0
Fgf6	7	6	4	2	0	0	2	1
Fgf7	4	8	4	10	1	1	0	2
Fgf8	1	2	1	1	0	1	0	0
Fgf9	0	2	9	8	0	0	0	1
Fgfbp1	2	0	2	0	1	0	0	0
Fgfbp3	4	5	3	5	15	9	7	2
Fgfr1	132	151	57	76	15	3	14	36
Fgfr1op	82	96	76	68	78	216	134	100
Fgfr1op2	1130	818	948	844	662	1381	414	441
Fgfr2	30	11	10	18	1	1	2	1
Fgfr3	6	2	7	19	2	2	4	2
Fgfr4	1	5	1	4	1	0	0	0
Fgfrl1	0	6	1	11	2	0	1	1
Fgg	6	0	4	5	0	1	1	2
Fggy	27	28	49	57	51	21	47	52
Fgl1	4	22	6	9	6	2	3	0
Fgl2	433	663	463	909	811	1595	387	629
Fgr	7037	4872	4493	4400	3004	5056	1128	1039
Fh1	330	308	214	259	183	318	250	296
Fhad1	19	23	9	18	19	4	0	1
Fhdc1	1	4	4	5	2	2	0	4
Fhit	13	11	13	7	5	11	3	1
Fhl1	10	7	33	27	9	12	9	9
Fhl2	3	3	4	0	0	12	0	0
Fhl3	8	9	9	12	6	11	8	7
Fhl4	2	5	4	10	3	2	0	2
Fhl5	1	4	0	5	1	1	1	1
Fhod1	195	136	163	114	95	104	66	52
Fhod3	9	17	9	7	3	1	2	0
Fibcd1	1	4	2	5	2	0	0	0
Fibin	2	0	3	0	0	2	0	0
Fibp	270	201	179	200	158	206	143	113
Ficd	73	41	43	58	74	69	43	42
Fig4	316	241	246	244	162	414	200	167
Figla	0	2	0	1	2	1	0	0
Fign	1	19	13	13	1	1	5	4
Fignl1	72	46	51	28	14	15	56	80
Fignl2	0	1	1	2	0	0	0	0
Filip1	3	4	12	1	1	2	0	1
Filip1l	2194	2246	2702	1867	1766	1973	535	457
Fip1l1	401	372	370	358	270	610	235	228
Fis1	1044	560	702	681	492	981	287	346
Fitm1	4	1	1	9	0	1	0	0
Fitm2	12	14	17	40	25	25	25	23
Fiz1	181	183	111	147	93	167	87	91
Fjx1	0	0	0	0	0	0	0	0
Fkbp10	0	2	0	0	0	2	0	0
Fkbp11	0	0	1	1	0	1	4	2
Fkbp14	5	2	3	0	0	1	1	1
Fkbp15	936	716	719	707	486	885	570	460
Fkbp1a	886	534	576	611	445	893	627	758
Fkbp1b	98	49	36	90	53	129	60	73
Fkbp2	207	111	122	114	103	229	96	149
Fkbp3	184	133	165	137	127	202	74	81
Fkbp4	545	345	341	381	185	375	230	269
Fkbp5	41	57	28	30	37	10	349	181
Fkbp6	4	6	8	1	0	1	0	0
Fkbp7	14	27	20	22	9	31	18	11
Fkbp8	545	411	389	358	268	467	290	338
Fkbp9	1	14	24	31	10	27	15	16
Fkbpl	68	41	41	35	32	55	16	19
Fkrp	129	100	111	77	136	107	73	53
Fktn	61	64	47	70	50	43	36	39
Flad1	233	167	183	213	137	230	115	119
Flcn	184	166	244	245	230	448	211	277
Flg	4	3	19	2	0	6	1	1
Flg2	0	4	4	4	5	0	1	3
Fli1	736	508	568	620	407	802	327	393
Flii	1498	1113	1185	1002	708	1614	540	604
Flna	12294	9921	11042	9324	6580	11459	4189	4016
Flnb	81	90	127	122	60	73	33	150
Flnc	7	0	11	6	7	5	4	2
Flot1	274	148	216	194	175	456	243	319
Flot2	255	205	182	191	144	442	266	258
Flrt1	10	10	7	4	3	5	4	2
Flrt2	8	18	10	38	12	6	7	19
Flrt3	8	7	15	3	12	1	3	33
Flt1	535	402	277	358	132	164	16	27
Flt3	157	177	63	124	28	208	26	19
Flt3l	39	15	39	19	17	38	4	5
Flt4	4	13	4	4	2	2	1	3
Flvcr1	194	129	149	109	79	258	107	74
Flvcr2	1	11	11	12	13	9	5	10
Flywch1	61	35	34	68	39	40	39	65
Flywch2	2	0	1	1	1	1	4	5
Fmc1	41	19	26	23	21	30	21	18
Fmn1	77	97	74	84	88	86	110	117
Fmn2	3	15	12	12	3	1	6	2
Fmnl1	2351	1599	1863	1546	1068	1364	403	388
Fmnl2	39	23	17	8	23	20	126	92
Fmnl3	146	116	113	126	90	7	92	82
Fmo1	2	18	11	29	20	8	0	3
Fmo2	4	12	14	26	4	1	5	4
Fmo3	0	6	0	4	1	1	0	1
Fmo4	4	3	4	13	1	0	2	3
Fmo5	115	107	172	114	84	121	35	24
Fmo6	1	1	1	2	4	0	0	1
Fmo9	6	5	7	18	1	2	0	1
Fmod	0	0	0	0	0	0	0	0
Fmr1	171	129	184	222	127	222	91	98
Fmr1nb	2	2	0	0	2	0	0	1
Fn1	339	393	482	1360	728	16381	9899	19720
Fn3k	2	3	1	1	2	4	0	0
Fn3krp	24	14	16	12	5	39	9	13
Fnbp1	1103	1004	1180	940	781	1380	832	664
Fnbp1l	25	81	56	63	45	11	27	35
Fnbp4	931	602	854	823	572	1142	362	285
Fnd3c2	1	1	1	1	0	0	0	0
Fndc1	16	8	15	23	19	4	1	4
Fndc10	0	0	1	0	0	0	2	1
Fndc11	0	1	0	4	0	0	0	0
Fndc3a	930	752	1007	896	626	1144	455	449
Fndc3b	251	146	174	251	178	302	219	262
Fndc3c1	1	6	2	8	1	3	0	1
Fndc4	30	23	1	1	4	0	2	2
Fndc5	9	9	3	2	1	2	1	1
Fndc7	34	100	62	36	31	1	8	14
Fndc8	0	8	0	12	3	2	2	0
Fndc9	45	55	50	36	24	11	3	6
Fnip1	171	121	173	160	150	200	147	173
Fnip2	47	37	49	52	77	65	166	207
Fnta	218	109	132	279	205	109	71	121
Fntb	22	19	16	14	17	24	16	23
Focad	39	67	72	73	18	45	38	46
Folh1	3	9	12	5	7	4	0	0
Folr1	1	2	6	3	1	1	0	0
Folr2	6	12	22	10	12	1	10	13
Fopnl	185	138	127	129	113	253	123	120
Fos	920	537	1221	716	429	1851	533	993
Fosb	63	46	45	21	18	61	47	25
Fosl1	2	5	0	0	5	1	5	8
Fosl2	756	501	651	462	419	674	299	357
Foxa1	5	3	5	1	0	0	0	0
Foxa2	0	0	1	0	0	0	0	0
Foxa3	0	2	4	0	0	0	0	0
Foxb1	0	0	0	0	0	0	0	0
Foxb2	0	0	0	0	0	0	0	0
Foxc1	4	0	1	1	0	1	0	0
Foxc2	1	1	1	4	0	0	0	0
Foxd1	5	3	2	6	3	3	0	2
Foxd2	1	0	1	0	2	9	0	0
Foxd3	0	0	0	0	0	0	0	0
Foxd4	3	1	5	7	0	1	2	1
Foxe1	0	0	0	0	0	0	0	0
Foxe3	0	0	0	1	0	0	0	0
Foxf1	1	0	2	4	0	0	0	0
Foxf2	0	3	2	0	3	0	1	0
Foxg1	0	0	2	0	0	0	0	1
Foxh1	0	1	0	0	0	0	0	0
Foxi1	4	0	3	6	4	0	1	0
Foxi2	0	0	0	4	0	4	1	0
Foxi3	0	0	2	0	2	3	0	0
Foxj1	1	1	0	1	0	0	1	2
Foxj2	167	150	120	127	133	109	77	62
Foxj3	236	244	285	253	139	244	87	115
Foxk1	365	278	253	253	175	259	80	40
Foxk2	84	71	69	76	71	101	53	50
Foxl1	0	0	0	2	0	0	1	0
Foxl2	0	0	0	1	0	0	0	0
Foxm1	11	2	8	15	10	13	23	20
Foxn1	7	0	1	3	1	0	0	0
Foxn2	962	629	785	677	637	1304	295	282
Foxn3	1600	1008	1180	1298	880	1136	301	270
Foxn4	0	0	1	1	2	2	0	1
Foxo1	123	86	111	87	81	128	34	33
Foxo3	398	212	335	336	269	476	139	130
Foxo4	14	14	13	13	10	27	7	4
Foxo6	0	0	0	0	0	0	0	0
Foxp1	949	743	917	741	594	886	235	233
Foxp2	28	48	44	41	31	4	12	15
Foxp3	5	2	1	0	2	2	1	1
Foxp4	5	6	7	3	5	5	7	1
Foxq1	0	3	1	0	0	1	0	0
Foxr1	1	8	1	0	0	0	0	1
Foxr2	0	3	1	2	0	0	0	0
Foxred1	252	161	281	193	169	309	149	98
Foxred2	75	79	65	69	53	218	66	29
Foxs1	0	0	0	6	4	0	0	0
Fpgs	52	33	45	38	39	36	45	53
Fpgt	164	151	159	142	111	220	94	82
Fpr-rs3	1	3	2	2	0	2	1	0
Fpr-rs4	0	0	6	0	3	0	0	1
Fpr-rs6	4	0	0	4	0	0	0	0
Fpr-rs7	0	0	0	0	0	3	2	0
Fpr1	403	174	53	155	166	19	106	109
Fpr2	235	124	91	98	128	112	83	43
Fpr3	4	0	2	1	2	0	1	2
Fra10ac1	57	60	47	43	37	72	33	47
Fras1	20	25	27	31	6	17	5	3
Frat1	78	27	112	59	28	119	12	12
Frat2	2	1	6	0	4	7	5	0
Frem1	9	34	21	19	13	10	2	1
Frem2	8	8	11	19	3	4	2	5
Frem3	2	10	9	3	0	2	0	2
Frg1	310	185	249	218	162	418	115	119
Frg2f1	4	6	8	14	11	0	8	8
Frk	3	7	9	17	3	2	7	6
Frmd3	11	1	7	14	0	7	2	4
Frmd4a	144	200	131	107	89	368	155	158
Frmd4b	125	186	263	348	211	230	304	438
Frmd5	14	19	20	7	4	3	4	4
Frmd6	11	28	30	6	32	15	28	11
Frmd7	0	5	1	0	4	3	0	2
Frmd8	1197	714	676	787	487	970	259	267
Frmpd1	6	2	1	3	0	0	0	0
Frmpd2	9	9	19	8	1	3	0	2
Frmpd3	0	3	13	1	7	0	0	1
Frmpd4	2	6	3	16	5	4	5	0
Frrs1	639	474	583	508	340	647	410	447
Frrs1l	2	15	11	3	0	9	2	1
Frs2	220	186	202	213	133	231	84	92
Frs3	2	2	2	2	2	0	0	0
Fry	904	534	639	793	436	662	191	196
Fryl	690	655	591	535	441	663	204	231
Frzb	3	0	12	11	1	1	2	0
Fsbp	1	4	2	1	4	3	1	0
Fscb	0	0	0	0	1	0	0	0
Fscn1	0	65	11	33	16	9	2	26
Fscn2	18	10	5	5	4	3	4	1
Fscn3	2	2	8	2	0	4	1	0
Fsd1	0	0	4	1	1	0	0	0
Fsd1l	14	11	18	8	34	14	3	3
Fsd2	3	8	15	6	8	11	3	1
Fshb	1	1	0	1	1	0	0	0
Fshr	1	4	2	0	4	3	1	0
Fsip1	0	9	8	9	3	5	1	1
Fsip2	18	40	60	40	10	22	18	13
Fst	3	3	2	1	1	0	6	1
Fstl1	4	3	13	6	9	2	86	154
Fstl3	1	0	0	0	1	0	0	0
Fstl4	5	8	8	10	4	8	1	1
Fstl5	23	11	11	9	10	1	5	5
Ftcd	3	2	0	1	7	0	0	1
Fth1	9268	7510	6976	8643	11878	7863	20543	42388
Fthl17	0	0	0	0	0	0	0	0
Fthl17a	1	0	0	1	0	0	0	0
Fthl17b	0	1	0	0	0	0	0	0
Fthl17c	0	0	0	0	0	0	0	0
Fthl17d	0	0	0	0	0	0	0	0
Fthl17f	0	0	0	0	0	0	0	0
Ftl1	1424	1060	1170	1106	1067	1418	1246	2785
Ftl1-ps1	3	2	2	4	0	1	5	12
Ftmt	0	0	0	0	1	0	0	0
Fto	312	284	258	244	225	354	139	170
Ftsj1	97	65	42	48	56	78	44	47
Ftsj3	256	257	193	188	124	201	178	138
Fubp1	960	777	829	781	592	750	422	476
Fubp3	151	165	129	147	133	160	123	156
Fuca1	866	720	783	719	516	1085	612	615
Fuca2	785	592	578	634	504	936	648	741
Fuk	76	51	61	55	31	50	26	26
Fundc1	333	231	203	259	201	454	265	312
Fundc2	143	95	106	63	103	171	141	137
Fuom	19	5	17	18	9	36	18	22
Furin	303	239	220	245	191	328	530	460
Fus	1017	781	631	781	426	426	294	302
Fut1	5	0	1	2	3	0	0	1
Fut10	19	7	17	15	8	12	1	7
Fut11	273	180	218	182	211	358	153	163
Fut2	6	6	2	0	0	0	3	0
Fut4	344	208	244	179	132	245	87	93
Fut7	107	96	55	46	49	150	5	12
Fut8	333	279	349	280	244	368	146	154
Fut9	18	35	51	19	23	11	15	10
Fuz	44	21	11	17	11	19	11	9
Fv1	20	16	20	28	16	28	6	12
Fxn	45	30	17	28	22	18	16	20
Fxr1	347	303	363	320	176	640	217	179
Fxr2	82	74	92	72	55	90	41	35
Fxyd1	2	0	0	0	1	2	1	0
Fxyd2	7	16	54	35	24	3	8	11
Fxyd3	0	0	3	0	2	0	0	1
Fxyd4	49	25	28	27	3	76	9	5
Fxyd5	3663	2343	2336	2146	1449	3203	1543	1694
Fxyd6	5	9	0	2	0	0	3	4
Fxyd7	1	0	0	0	0	1	0	1
Fyb	3679	2992	3479	2874	2189	2942	625	562
Fyb2	2	3	3	9	7	0	1	1
Fyco1	337	354	351	277	204	181	145	133
Fyn	423	324	358	298	183	61	77	67
Fyttd1	204	153	163	169	157	207	199	189
Fzd1	0	7	0	7	14	9	4	22
Fzd10	0	4	0	1	0	1	0	0
Fzd2	4	0	4	1	0	0	0	0
Fzd3	26	16	12	11	17	1	3	7
Fzd4	108	60	77	83	48	55	34	33
Fzd5	8	9	19	12	13	8	8	18
Fzd6	0	0	0	0	0	0	0	0
Fzd7	147	79	76	84	63	26	56	40
Fzd8	0	0	0	0	0	0	0	0
Fzd9	2	0	0	0	0	0	0	0
Fzr1	400	217	170	281	255	184	66	144
G0s2	369	123	416	163	101	30	24	14
G2e3	103	78	181	104	91	120	69	81
G3bp1	608	526	514	445	319	579	350	421
G3bp2	568	543	524	547	396	959	335	352
G430049J08Rik	1	2	1	0	0	0	0	0
G430095P16Rik	27	19	17	22	14	33	14	3
G530012D18Rik	0	0	0	0	0	0	0	0
G6pc	0	3	0	3	0	1	0	1
G6pc2	10	0	1	2	8	8	2	1
G6pc3	67	34	49	55	43	77	51	66
G6pd2	4	5	1	8	4	7	4	3
G6pdx	1802	1144	1086	1211	762	1747	495	579
Gaa	359	304	364	317	285	279	359	601
Gab1	4	11	24	43	13	19	49	56
Gab2	637	466	633	463	353	395	320	297
Gab3	112	105	181	171	89	185	74	93
Gabarap	1707	1131	1278	1274	983	2230	1089	1443
Gabarapl1	105	78	79	96	130	180	124	134
Gabarapl2	119	92	97	119	78	141	44	44
Gabbr1	18	21	11	10	8	2	3	3
Gabbr2	1	26	7	7	0	4	5	3
Gabpa	255	230	217	246	200	278	194	203
Gabpb1	150	167	145	115	60	158	90	78
Gabpb2	635	747	701	686	383	670	279	210
Gabra1	4	12	5	12	12	7	2	6
Gabra2	5	14	4	4	11	3	1	0
Gabra3	4	6	1	5	1	0	0	1
Gabra4	4	7	8	7	1	0	0	2
Gabra5	4	4	2	1	2	0	0	0
Gabra6	1	1	5	8	0	1	1	4
Gabrb1	20	20	24	14	5	17	3	5
Gabrb2	9	7	4	23	5	4	0	8
Gabrb3	7	14	19	21	18	0	0	10
Gabrd	10	1	4	3	2	2	0	1
Gabre	2	2	0	2	2	0	1	2
Gabrg1	2	13	3	13	2	5	1	9
Gabrg2	5	6	4	21	4	0	2	2
Gabrg3	4	18	11	2	0	5	6	5
Gabrp	6	16	1	2	2	1	0	2
Gabrq	2	7	7	14	3	4	0	5
Gabrr1	5	3	9	2	4	0	0	0
Gabrr2	9	2	7	3	0	3	1	1
Gabrr3	3	2	4	14	1	0	0	3
Gad1	5	9	6	4	5	10	0	4
Gad2	8	10	5	6	6	2	3	1
Gadd45a	6	7	5	3	2	0	3	7
Gadd45b	76	82	68	88	60	81	55	42
Gadd45g	40	66	40	44	35	1	42	48
Gadd45gip1	24	14	12	10	12	27	8	13
Gadl1	8	1	2	1	3	0	0	1
Gak	787	477	525	469	409	767	311	285
Gal	0	0	3	0	2	7	1	0
Gal3st1	0	1	2	0	1	1	0	0
Gal3st2	2	0	0	0	0	0	0	0
Gal3st2b	1	0	0	1	0	0	0	0
Gal3st2c	8	6	5	10	1	4	0	5
Gal3st3	1	1	4	2	0	1	0	0
