	Mo.Ly6C-.Lu#1	Mo.Ly6C-.Lu#2	Mo.Ly6C-.Lu#3	Mo.Ly6C-.Lu.KPd17#1	Mo.Ly6C-.Lu.KPd17#2	Mo.Ly6C-.Lu.KPd28#1	Mo.Ly6C-.Lu.KPd28#2	Mo.Ly6C-.Lu.KPd28#3
Krtap5-1	0	1	0	0	0	0	0	0
Krtap5-2	0	0	0	0	0	1	0	0
Krtap5-3	0	2	2	1	0	0	0	0
Krtap5-4	0	0	1	7	0	0	0	0
Krtap5-5	1	0	3	4	0	0	0	1
Krtap6-1	1	0	3	0	2	0	0	0
Krtap6-2	0	0	1	1	0	0	0	0
Krtap6-3	0	0	0	0	0	0	0	0
Krtap6-5	0	0	1	0	0	0	0	2
Krtap7-1	0	0	0	1	0	0	0	0
Krtap8-1	0	0	0	0	0	0	0	0
Krtap9-1	0	0	0	1	1	0	0	0
Krtap9-3	2	0	0	1	1	0	0	0
Krtap9-5	0	0	0	2	0	0	0	0
Krtcap2	233	133	157	126	160	299	147	171
Krtcap3	20	21	15	12	10	3	3	7
Krtdap	0	0	1	0	1	0	0	0
Ksr1	20	5	16	16	13	13	26	24
Ksr2	21	28	21	23	2	4	4	6
Kti12	82	67	94	81	43	142	62	67
Ktn1	173	191	233	195	185	319	149	118
Kxd1	306	219	249	204	179	568	188	225
Ky	2	8	5	1	3	0	0	2
Kyat1	26	25	11	12	13	26	4	26
Kyat3	27	31	14	15	10	16	19	24
Kynu	105	109	67	110	46	43	109	105
L1cam	1328	1093	1256	1175	610	183	109	131
L1td1	0	1	0	2	3	0	0	0
L2hgdh	24	10	10	10	0	18	7	13
L3hypdh	5	4	15	7	2	3	2	5
L3mbtl1	3	1	5	5	0	6	0	1
L3mbtl2	145	151	121	83	121	140	62	68
L3mbtl3	120	125	113	122	86	119	64	70
L3mbtl4	6	11	4	6	2	2	1	2
Lacc1	156	181	177	189	185	106	103	99
Lactb	63	27	51	75	52	48	37	28
Lactb2	103	92	109	107	117	188	121	140
Lactbl1	1	1	4	2	1	0	0	0
Lad1	1	6	0	16	7	0	2	0
Lag3	4	4	6	28	10	6	21	22
Lage3	45	45	26	42	28	81	26	53
Lair1	2231	1672	2391	2040	1499	841	1176	996
Lalba	0	0	0	0	0	0	0	2
Lama1	10	14	15	38	4	15	2	4
Lama2	55	30	36	64	15	11	3	6
Lama3	5	8	16	19	8	6	4	4
Lama4	17	19	16	14	11	9	2	5
Lama5	19	6	9	6	2	6	4	10
Lamb1	19	12	13	14	8	2	4	5
Lamb2	11	18	18	19	11	4	3	4
Lamb3	17	23	28	22	20	17	5	6
Lamc1	19	16	19	38	28	4	50	42
Lamc2	12	5	18	10	14	3	1	2
Lamc3	0	9	3	8	2	0	0	5
Lamp1	2952	2182	1416	3139	2996	1978	2065	5560
Lamp2	3226	2473	2707	2998	2507	5669	3063	3911
Lamp3	39	1	1	7	0	6	1	3
Lamp5	1	7	6	4	1	1	0	1
Lamtor1	475	299	370	315	229	440	320	351
Lamtor2	320	187	260	231	195	397	203	210
Lamtor3	272	227	244	229	291	415	205	298
Lamtor4	136	81	121	107	92	280	106	88
Lamtor5	297	169	215	212	169	391	124	156
Lancl1	112	127	130	120	91	98	98	103
Lancl2	71	62	48	66	50	152	77	74
Lancl3	4	6	5	3	0	2	0	1
Lao1	1	5	3	8	1	4	3	2
Lap3	97	71	75	131	129	142	314	308
Laptm4a	1656	1301	1715	1631	1059	1591	701	731
Laptm4b	65	42	61	58	38	40	33	64
Laptm5	13024	10034	10195	9431	6914	11862	5287	7470
Large1	13	31	31	40	22	19	8	11
Large2	1	0	1	0	0	2	1	1
Larp1	114	89	125	111	97	200	97	76
Larp1b	31	33	19	20	16	35	26	16
Larp4	160	58	171	130	101	215	95	116
Larp4b	679	497	584	569	443	852	410	361
Larp6	0	3	0	1	0	0	0	2
Larp7	145	111	140	96	84	113	61	60
Lars	300	291	230	278	178	257	180	252
Lars2	3406	1490	1882	1879	2569	1798	930	1595
Las1l	227	260	205	203	136	198	115	113
Lasp1	1112	960	871	920	528	1117	568	724
Lat	3	1	0	0	0	6	1	0
Lat2	376	276	214	267	220	481	235	368
Lats1	148	120	106	101	106	185	95	69
Lats2	301	251	352	286	212	362	126	88
Lax1	0	0	0	2	1	21	2	0
Layn	6	12	14	5	7	24	4	9
Lbh	428	206	336	218	176	359	51	42
Lbhd1	18	43	40	53	31	82	21	19
Lbhd2	0	1	2	0	1	0	1	0
Lbp	1	5	8	9	3	25	14	121
Lbr	625	438	575	504	284	1203	318	319
Lbx1	2	2	1	0	1	0	0	0
Lbx2	2	0	5	2	3	0	0	0
Lca5	15	22	11	11	9	9	7	10
Lca5l	7	1	2	8	2	5	4	3
Lcat	2	1	3	1	0	12	3	1
Lce1a1	0	1	1	0	0	0	0	0
Lce1a2	0	0	0	0	0	0	0	0
Lce1b	0	0	0	0	1	0	0	0
Lce1c	0	0	0	0	0	0	1	0
Lce1d	0	0	1	0	0	0	0	0
Lce1e	0	2	0	3	5	1	0	0
Lce1f	0	2	0	0	1	0	0	0
Lce1g	1	1	1	0	1	0	0	1
Lce1h	0	0	0	1	0	0	0	0
Lce1i	0	0	0	0	0	0	0	0
Lce1j	0	0	3	3	0	0	0	0
Lce1k	2	2	0	0	0	0	0	0
Lce1l	0	0	0	5	0	0	2	0
Lce1m	0	0	0	1	0	0	1	0
Lce3a	0	2	1	1	2	0	0	0
Lce3b	0	0	0	0	0	0	0	0
Lce3c	0	3	0	1	1	0	0	0
Lce3d	1	0	1	0	0	0	0	0
Lce3e	0	3	0	1	0	0	0	0
Lce3f	0	1	2	0	0	0	0	0
Lce6a	1	0	0	0	0	2	1	1
Lck	7	6	1	2	6	56	3	2
Lclat1	76	78	101	76	64	92	61	48
Lcmt1	148	117	110	120	81	146	116	103
Lcmt2	94	105	70	68	79	108	45	47
Lcn10	0	1	0	0	0	0	0	1
Lcn11	2	0	1	0	0	0	1	0
Lcn12	0	0	3	0	0	3	0	0
Lcn2	5	2	2	0	2	1	9	9
Lcn3	3	2	1	5	0	0	0	1
Lcn4	1	6	3	2	0	0	0	0
Lcn5	0	1	4	1	0	0	0	0
Lcn6	0	1	7	4	0	1	1	0
Lcn8	0	0	3	1	1	0	0	1
Lcn9	0	3	3	5	0	0	0	0
Lcor	253	203	256	279	182	243	143	121
Lcorl	156	210	173	127	166	235	117	89
Lcp1	12570	10437	8642	8349	6080	7836	4794	6396
Lcp2	2766	1919	2407	2030	1527	2511	758	844
Lct	0	20	10	8	0	0	1	2
Lctl	0	4	4	5	1	1	0	1
Ldah	479	409	416	279	281	538	209	220
Ldb1	86	65	78	79	70	68	41	36
Ldb2	1	6	5	2	2	2	2	4
Ldb3	12	6	19	8	3	5	3	2
Ldha	1762	1233	1168	1320	952	1507	2606	3495
Ldhal6b	0	0	0	0	0	0	0	0
Ldhb	17	16	18	21	24	192	123	89
Ldhc	0	1	12	0	4	1	4	0
Ldhd	13	8	2	2	8	0	10	7
Ldlr	1433	1159	817	1224	554	2098	426	481
Ldlrad1	2	3	4	2	0	3	1	1
Ldlrad2	0	3	0	0	0	0	1	1
Ldlrad3	2448	1740	2009	1636	1032	2505	205	213
Ldlrad4	52	52	50	43	41	64	40	38
Ldlrap1	812	424	653	424	313	376	201	206
Ldoc1	0	0	1	0	0	5	0	0
Leap2	2	3	1	0	0	0	1	0
Lect2	0	0	0	2	0	0	0	0
Lef1	2	15	6	7	12	3	0	3
Lefty1	0	2	2	5	6	3	5	5
Lefty2	4	0	3	0	4	4	0	0
Lekr1	16	12	24	15	17	10	7	7
Lelp1	0	1	1	0	3	1	0	0
Lemd1	0	8	1	26	0	0	2	2
Lemd2	126	94	130	63	75	115	56	45
Lemd3	69	76	78	49	44	110	30	33
Lenep	0	0	0	0	0	0	0	0
Leng1	61	52	31	53	45	73	41	39
Leng8	1388	1058	1264	1021	667	1186	516	483
Leng9	136	164	101	95	74	91	42	16
Leo1	98	111	105	90	57	106	56	80
Lep	1	0	4	3	0	0	0	0
Lepr	2	12	8	17	1	3	11	4
Leprot	726	623	637	645	505	1072	571	588
Leprotl1	535	369	403	364	323	650	284	310
Letm1	416	283	436	360	301	511	287	281
Letm2	48	59	39	72	22	45	22	13
Letmd1	210	131	152	208	92	187	85	118
Lexm	0	5	0	0	1	1	0	0
Lfng	184	136	117	111	88	96	54	88
Lgals1	342	309	237	238	244	658	596	921
Lgals12	4	8	3	1	2	3	1	0
Lgals2	3	0	1	0	1	0	5	0
Lgals3	3344	1909	1836	2174	2191	6675	3594	5666
Lgals3bp	478	353	451	668	1083	999	1234	1210
Lgals4	1	16	8	10	8	16	8	4
Lgals7	0	0	0	0	1	7	0	0
Lgals8	341	264	243	343	274	402	322	319
Lgals9	292	173	202	238	225	950	570	638
Lgalsl	13	10	5	15	1	6	15	10
Lgi1	5	17	9	6	5	1	5	6
Lgi2	3	5	1	3	0	0	0	3
Lgi3	17	9	2	2	0	0	3	0
Lgi4	6	4	9	0	6	6	9	5
Lgmn	1302	1281	1446	1803	1711	1086	4339	5952
Lgr4	14	22	23	32	5	24	7	9
Lgr5	15	20	7	17	5	1	5	6
Lgr6	0	14	5	8	1	4	2	6
Lgsn	1	1	3	1	2	0	0	1
Lhb	0	2	0	0	0	0	0	0
Lhcgr	0	4	5	6	1	4	2	0
Lhfp	5	18	33	12	12	0	6	7
Lhfpl1	0	2	0	0	0	2	0	0
Lhfpl2	9	18	31	54	222	0	256	648
Lhfpl3	7	4	2	2	0	2	7	0
Lhfpl4	1	6	3	3	3	0	1	0
Lhfpl5	0	0	0	0	0	0	0	0
Lhpp	36	20	28	24	25	44	17	32
Lhx1	3	0	0	0	1	3	4	0
Lhx2	0	1	2	1	2	0	0	0
Lhx3	0	3	0	2	2	1	0	0
Lhx4	3	6	5	2	2	1	0	3
Lhx5	2	3	0	3	0	0	0	0
Lhx6	4	6	4	1	0	5	1	0
Lhx8	2	3	16	10	1	0	1	1
Lhx9	2	29	14	8	6	7	2	0
Lias	208	126	169	172	160	188	120	80
Lif	9	4	10	2	0	9	6	12
Lifr	415	456	496	578	253	390	515	580
Lig1	69	92	56	85	70	28	84	119
Lig3	114	94	87	88	45	128	57	87
Lig4	20	14	17	33	23	27	7	24
Lilr4b	604	541	420	578	546	673	2164	2088
Lilra5	1427	846	939	1085	692	69	257	267
Lilra6	124	119	62	62	51	607	22	39
Lilrb4	838	723	577	663	538	1468	932	891
Lilrb4a	0	0	0	0	0	0	0	0
Lim2	1	0	1	1	1	0	1	0
Lima1	621	466	378	347	345	305	154	229
Limch1	27	21	20	11	12	3	2	8
Limd1	1277	1041	897	934	665	1419	356	357
Limd2	3092	2240	1849	1906	1267	1561	425	394
Lime1	2	0	0	0	0	0	0	0
Limk1	73	44	45	62	36	90	31	28
Limk2	110	112	180	143	69	115	83	69
Lims1	1961	1375	1377	1636	1122	3004	795	680
Lims2	0	4	9	7	3	0	0	1
Lin28a	2	8	2	4	0	9	0	0
Lin28b	9	23	9	11	6	14	3	3
Lin37	104	71	91	76	55	101	42	31
Lin52	40	39	75	63	42	82	21	31
Lin54	139	103	103	122	71	89	49	41
Lin7a	0	5	6	7	1	4	2	2
Lin7b	0	0	1	0	0	0	0	0
Lin7c	477	404	443	483	353	915	391	368
Lin9	78	52	68	45	50	53	43	54
Lingo1	0	2	2	4	2	0	0	0
Lingo2	5	12	18	8	2	2	8	4
Lingo3	0	6	0	1	0	0	0	1
Lingo4	0	0	9	11	0	1	0	0
Lins1	27	63	31	23	43	60	19	31
Lipa	1111	743	1205	1197	1037	1506	1073	2062
Lipc	1	5	4	6	6	7	4	3
Lipe	401	313	316	269	195	274	92	88
Lipf	2	1	9	0	1	0	0	3
Lipg	2	10	1	4	3	0	0	0
Liph	0	6	5	2	9	1	1	1
Lipi	1	2	5	8	2	0	1	6
Lipk	6	6	4	0	1	5	0	3
Lipm	0	5	1	5	2	2	1	0
Lipn	1	0	4	1	2	0	2	6
Lipo1	0	0	1	2	0	0	0	0
Lipo2	2	1	5	3	0	0	1	0
Lipo3	60	43	63	59	53	58	35	57
Lipo4	3	4	1	2	2	2	1	0
Lipo5	1	2	1	0	1	3	0	1
Lipt1	3	11	6	6	0	4	6	9
Lipt2	22	9	21	20	13	42	22	15
Litaf	1242	727	1152	882	878	1264	1188	1677
Lix1	5	5	11	10	6	4	2	1
Lix1l	2	3	7	6	1	8	1	1
Lkaaear1	0	5	4	4	0	0	0	0
Llcfc1	0	0	0	1	0	0	0	0
Llgl1	243	172	165	105	131	188	69	92
Llgl2	61	70	49	53	58	38	12	27
Llph	125	143	142	115	93	150	66	61
Lman1	328	275	240	302	183	347	243	249
Lman1l	2	1	2	3	1	0	2	1
Lman2	1314	1002	967	1086	769	1678	794	861
Lman2l	439	273	329	213	189	421	147	157
Lmbr1	55	30	34	56	22	32	26	33
Lmbr1l	205	186	220	179	134	209	75	62
Lmbrd1	767	665	688	855	552	750	418	428
Lmbrd2	18	15	11	8	8	14	5	18
Lmcd1	4	2	0	2	3	3	0	1
Lmf1	248	204	189	229	120	467	138	109
Lmf2	246	138	160	162	156	195	129	160
Lmln	3	8	23	24	7	8	43	12
Lmna	121	194	259	261	323	62	512	694
Lmnb1	63	77	112	48	56	94	103	169
Lmnb2	58	38	20	37	30	41	45	63
Lmntd1	2	9	8	9	2	6	2	3
Lmntd2	1	0	5	0	1	0	2	0
Lmo1	54	45	12	23	6	31	2	11
Lmo2	80	77	88	75	69	93	43	39
Lmo3	2	3	15	4	3	3	1	3
Lmo4	576	310	339	337	261	391	91	72
Lmo7	16	17	10	13	13	0	3	6
Lmod1	0	1	5	8	1	0	1	1
Lmod2	0	0	1	0	0	2	0	0
Lmod3	3	1	1	3	3	6	2	0
Lmtk2	197	97	70	132	71	62	15	20
Lmtk3	0	1	4	0	1	0	0	0
Lmx1a	1	2	1	0	0	0	1	1
Lmx1b	0	2	0	1	4	0	0	1
Lnp1	0	1	2	0	1	2	0	0
Lnpep	1896	1554	1935	1639	1158	2009	890	655
Lnpk	117	110	105	118	60	130	97	97
Lnx1	8	9	10	7	6	4	5	0
Lnx2	34	42	34	24	18	58	24	55
Lonp1	217	114	93	221	200	118	101	134
Lonp2	462	433	305	330	229	460	158	174
Lonrf1	80	43	77	58	28	35	30	25
Lonrf2	16	5	9	15	4	4	3	4
Lonrf3	0	17	11	14	15	7	14	15
Lor	0	0	0	1	0	0	0	0
Lox	0	11	2	12	13	0	2	0
Loxhd1	10	10	9	6	4	0	2	2
Loxl1	2	7	0	0	3	0	2	2
Loxl2	9	3	4	1	2	4	1	0
Loxl3	94	96	60	58	58	27	21	13
Loxl4	20	6	26	13	9	9	2	1
Lpar1	20	8	21	45	8	3	20	44
Lpar2	2	7	2	2	1	6	0	0
Lpar3	31	47	0	10	5	1	2	1
Lpar4	6	8	3	6	2	0	1	0
Lpar5	179	116	211	151	92	143	38	53
Lpar6	488	406	562	404	322	391	193	148
Lpcat1	164	93	108	192	127	185	111	132
