	Mo.Ly6C-.Bl#1	Mo.Ly6C-.Bl#2	Mo.Ly6C-.Bl#3	Mo.Ly6C-.Bl.KPd17#1	Mo.Ly6C-.Bl.KPd17#2	Mo.Ly6C-.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C-Bl.KPd28#3
Arap1	2000	2034	348	2216	2205	1495	1177	1295	1750
Arap2	14	56	14	74	42	46	108	74	72
Arap3	50	50	1	62	43	19	55	43	45
Arc	0	4	1	1	10	2	2	6	0
Arcn1	684	981	1226	1020	1019	754	716	1029	894
Arel1	319	228	146	270	298	159	190	191	196
Arf1	2975	1394	1653	1561	1374	901	975	1411	1487
Arf2	803	412	371	407	417	285	228	647	445
Arf3	287	194	323	225	241	128	130	218	210
Arf4	1525	1135	1883	1263	967	680	970	1141	1236
Arf5	347	243	344	289	294	232	169	301	318
Arf6	302	117	45	132	136	110	63	100	137
Arfgap1	414	456	293	436	311	281	254	358	348
Arfgap2	207	144	139	130	118	101	70	129	133
Arfgap3	156	126	234	152	99	40	53	103	97
Arfgef1	396	358	288	371	392	267	264	349	301
Arfgef2	168	142	185	171	141	136	86	161	187
Arfgef3	14	31	11	35	22	21	34	39	13
Arfip1	23	39	37	31	38	11	25	35	26
Arfip2	135	56	127	115	69	31	47	80	70
Arfrp1	967	559	499	532	578	425	327	392	514
Arg1	9	12	11	12	5	12	820	891	15
Arg2	10	5	14	3	10	3	18	11	7
Arglu1	618	414	239	412	329	482	274	283	292
Arhgap1	932	729	598	682	785	445	479	546	585
Arhgap10	9	23	6	6	8	3	5	13	10
Arhgap11a	152	264	203	285	292	202	213	280	247
Arhgap12	283	249	215	277	282	201	153	214	275
Arhgap15	1676	1516	109	1473	1338	956	961	1379	1433
Arhgap17	922	808	417	853	838	719	465	525	695
Arhgap18	98	159	267	185	152	69	143	173	144
Arhgap19	20	35	96	46	35	29	5	43	28
Arhgap20	7	32	2	27	15	5	18	23	9
Arhgap21	73	58	59	74	72	22	76	56	60
Arhgap22	5	8	14	0	6	1	1	22	11
Arhgap23	51	55	58	40	45	15	35	61	59
Arhgap24	52	32	444	73	29	46	61	112	112
Arhgap25	945	681	1237	657	739	509	590	462	616
Arhgap26	1117	1097	1123	1029	925	633	762	789	1017
Arhgap27	750	1056	331	1199	1180	840	657	920	1131
Arhgap28	5	22	0	7	9	5	14	9	6
Arhgap29	8	10	22	5	25	7	17	40	29
Arhgap30	2639	2749	2274	2702	2766	1861	1903	2248	2909
Arhgap31	187	286	918	307	213	165	155	194	212
Arhgap32	20	22	14	20	33	12	13	44	31
Arhgap33	6	3	18	3	9	1	4	14	3
Arhgap35	39	56	32	35	55	35	27	57	36
Arhgap36	0	1	0	0	1	1	0	1	4
Arhgap39	848	696	246	772	685	565	314	196	451
Arhgap4	745	1039	157	983	716	559	495	564	700
Arhgap40	1	6	1	4	3	0	2	6	3
Arhgap42	6	28	4	7	13	6	14	23	16
Arhgap44	0	12	0	2	6	12	6	16	5
Arhgap45	2487	2332	951	2729	2355	1742	1778	2049	2194
Arhgap5	144	209	348	145	140	69	119	110	84
Arhgap6	29	44	36	52	47	14	47	19	40
Arhgap8	0	9	1	5	6	0	2	5	2
Arhgap9	2145	1209	986	1183	1052	809	744	939	1031
Arhgdia	2859	2764	3501	2753	2589	1707	1731	2727	2676
Arhgdib	10217	4239	2200	4402	4052	2730	2609	3083	3968
Arhgdig	0	1	0	0	0	0	1	2	4
Arhgef1	2680	2789	388	3160	3209	2277	894	2134	2419
Arhgef10	16	18	11	18	28	6	19	27	44
Arhgef10l	2344	2767	0	2684	3020	1906	1484	1555	2341
Arhgef11	123	112	124	164	116	128	75	96	118
Arhgef12	30	50	138	42	49	24	32	55	35
Arhgef15	6	3	4	8	0	4	2	5	8
Arhgef16	0	8	4	0	3	1	6	4	3
Arhgef17	16	11	1	9	11	3	3	27	5
Arhgef18	181	232	166	215	176	171	239	395	254
Arhgef19	2	2	0	4	0	1	2	1	1
Arhgef2	662	845	1001	780	724	513	576	721	755
Arhgef25	3	7	1	5	0	0	2	5	1
Arhgef26	27	43	5	35	19	15	19	20	26
Arhgef28	7	14	8	20	17	7	6	8	14
Arhgef3	970	1182	974	1072	933	824	640	579	799
Arhgef33	2	12	3	4	6	5	6	8	5
Arhgef37	250	324	0	346	274	167	158	214	264
Arhgef38	4	10	6	27	17	12	8	12	15
Arhgef39	20	14	47	23	11	7	9	15	8
Arhgef4	39	58	84	37	48	37	21	64	52
Arhgef40	10	9	231	33	13	5	19	11	13
Arhgef5	3	16	0	11	11	20	9	9	44
Arhgef6	651	808	848	836	785	522	578	593	581
Arhgef7	478	451	351	481	556	298	310	436	518
Arhgef9	8	5	2	16	3	3	0	5	8
Arid1a	1600	1000	530	1157	1137	937	745	696	978
Arid1b	334	286	257	338	365	246	165	164	212
Arid2	404	384	386	476	412	349	238	335	345
Arid3a	468	207	49	239	165	174	122	148	242
Arid3b	208	224	117	240	177	127	171	187	208
Arid3c	1	2	0	0	0	0	0	0	2
Arid4a	835	576	230	675	589	451	494	398	495
Arid4b	677	447	270	478	434	318	315	426	426
Arid5a	140	69	20	177	156	101	257	421	422
Arid5b	238	196	145	276	195	137	110	181	174
Arih1	310	316	250	313	270	229	289	253	281
Arih2	591	689	432	521	516	383	489	595	639
Arl1	565	269	689	337	317	231	239	292	329
Arl10	314	129	130	142	197	117	84	153	209
Arl11	396	155	1091	184	177	131	119	164	166
Arl13a	5	3	0	2	1	2	2	3	7
Arl13b	99	128	222	97	132	114	92	94	130
Arl14	8	4	0	12	5	5	5	5	1
Arl14ep	260	247	238	157	179	156	137	184	208
Arl14epl	2	12	0	3	4	0	0	1	0
Arl15	128	77	36	88	61	63	53	68	56
Arl16	181	74	93	98	108	63	36	68	89
Arl2	59	31	108	20	59	32	29	30	42
Arl2bp	34	32	13	48	50	14	29	53	57
Arl3	73	24	49	24	6	3	11	34	18
Arl4a	64	49	20	59	27	18	39	73	43
Arl4c	284	227	36	260	240	164	169	160	243
Arl4d	24	33	6	19	8	21	42	16	6
Arl5a	165	89	111	165	156	128	57	125	128
Arl5b	122	123	68	138	143	76	64	113	96
Arl5c	948	464	21	506	467	393	206	208	323
Arl6	5	12	19	9	12	2	12	9	0
Arl6ip1	3603	2247	3956	2073	2013	1590	1495	1791	1964
Arl6ip4	312	189	136	190	144	101	112	164	143
Arl6ip5	2414	549	402	651	632	450	386	564	586
Arl6ip6	490	318	209	486	389	259	204	240	383
Arl8a	80	71	80	79	76	60	43	66	54
Arl8b	1272	1089	1750	943	955	824	759	1007	1077
Arl9	0	1	4	2	0	2	2	1	0
Armc1	421	206	208	276	228	172	180	192	241
Armc10	170	95	156	128	118	65	76	116	108
Armc12	0	0	0	2	1	2	0	0	1
Armc2	4	18	4	16	6	5	6	21	12
Armc3	48	28	17	55	16	26	14	15	29
Armc4	13	13	5	5	8	1	6	18	12
Armc5	158	148	126	162	162	118	126	123	155
Armc6	34	32	70	27	31	7	31	22	19
Armc7	357	269	154	267	282	124	122	172	251
Armc8	338	265	191	304	251	123	152	247	263
Armc9	65	53	59	28	49	15	37	31	45
Armcx1	0	1	3	0	0	0	0	1	8
Armcx2	42	22	1	14	28	21	13	23	15
Armcx3	18	21	25	25	14	15	7	13	17
Armcx4	3	1	1	9	0	2	2	8	9
Armcx5	49	71	39	55	65	47	31	94	43
Armcx6	1	2	0	0	2	0	2	1	3
Armt1	228	217	126	189	168	106	92	180	138
Arnt	312	435	443	543	487	282	280	492	417
Arnt2	3	16	2	8	8	12	12	16	15
Arntl	192	165	214	153	176	143	65	148	122
Arntl2	21	29	15	23	4	8	12	6	6
Arpc1a	1353	586	597	579	497	436	411	718	677
Arpc1b	10134	4889	4163	5071	4802	3176	3120	4421	5040
Arpc2	10020	4899	4047	5625	4542	3290	3186	4683	4852
Arpc3	2663	646	456	561	603	402	417	561	652
Arpc4	3013	1818	1444	1522	1287	883	1001	1355	1459
Arpc5	7601	4097	4940	4370	3649	2732	2656	3622	3979
Arpc5l	1446	744	374	729	575	505	404	478	526
Arpin	17	14	113	20	27	22	3	3	4
Arpp19	542	301	470	345	249	250	225	248	330
Arpp21	6	22	3	30	16	3	22	47	38
Arr3	0	3	0	5	5	0	0	17	4
Arrb1	726	656	51	701	814	602	519	543	788
Arrb2	181	108	116	102	85	65	78	111	123
Arrdc1	1081	902	670	957	736	684	556	747	886
Arrdc2	42	51	20	49	36	17	16	32	21
Arrdc3	307	620	395	1005	1373	1025	1563	798	1868
Arrdc4	53	45	688	55	66	33	125	110	163
Arrdc5	0	8	0	1	6	3	1	1	3
Arsa	411	281	324	259	306	216	182	268	245
Arsb	174	131	137	155	80	98	106	89	76
Arsg	7	3	110	16	1	3	17	36	7
Arsi	33	18	0	50	12	27	25	6	22
Arsj	0	9	1	5	3	0	6	6	10
Arsk	156	138	307	150	135	86	78	149	142
Art1	0	3	0	1	0	0	2	2	1
Art2b	41	25	1	20	1	9	7	21	9
Art3	7	12	0	11	16	2	9	4	5
Art4	7	12	7	15	6	1	1	6	1
Art5	1	0	2	6	0	0	1	4	0
Artn	1	0	0	1	0	0	4	2	0
Arv1	23	39	21	31	13	22	23	34	28
Arvcf	4	2	4	0	0	0	4	0	0
Arx	0	5	1	3	0	0	0	0	1
Arxes1	0	0	0	0	0	0	2	0	0
Arxes2	0	0	0	0	0	0	0	0	0
As3mt	175	75	83	60	52	48	70	44	62
Asah1	4110	2255	4819	2511	2464	1649	1964	3086	3097
Asah2	18	8	25	10	11	8	13	10	13
Asap1	2098	1975	843	2121	1493	1050	923	1244	1620
Asap2	20	6	2	14	15	2	1	21	14
Asap3	7	6	3	26	12	2	8	5	3
Asb1	35	63	41	71	42	58	21	72	76
Asb10	4	3	0	1	1	0	1	5	7
Asb11	1	2	0	2	4	1	0	3	1
Asb12	0	1	0	1	0	0	0	0	0
Asb13	215	96	179	102	148	116	110	154	125
Asb14	20	19	8	12	9	26	13	24	24
Asb15	1	8	2	1	2	2	1	13	7
Asb16	0	2	0	1	1	2	3	3	1
Asb17	13	5	2	3	3	5	5	2	2
Asb18	3	2	0	1	1	0	3	4	3
Asb2	15	18	0	7	9	8	35	10	29
Asb3	335	179	226	200	175	118	131	161	131
Asb4	13	5	83	31	32	9	14	15	10
Asb5	0	2	0	7	3	3	2	5	2
Asb6	290	174	172	241	251	155	163	198	195
Asb7	74	54	48	60	44	90	64	66	57
Asb8	576	227	291	260	235	179	161	254	234
Asb9	0	0	0	6	1	0	1	1	1
Ascc1	269	127	104	165	133	107	99	172	180
Ascc2	379	287	368	265	424	219	227	235	304
Ascc3	440	494	248	506	515	301	348	328	518
Ascl1	0	0	0	0	0	1	0	0	0
Ascl2	17	12	1	0	0	0	1	2	1
Ascl3	1	0	1	0	0	1	1	1	0
Ascl4	2	0	0	1	0	0	0	7	0
Ascl5	0	1	0	0	0	0	0	0	0
Asf1a	89	38	38	64	73	43	37	57	31
Asf1b	121	64	150	69	62	57	30	75	77
Asgr1	1	6	0	2	2	0	2	0	0
Asgr2	0	1	0	3	3	3	1	6	0
Ash1l	1178	940	455	994	1071	653	651	680	872
Ash2l	132	70	146	83	137	82	41	113	111
Asic1	3	10	2	11	1	11	5	5	6
Asic2	0	7	0	1	0	3	0	8	4
Asic3	1	5	2	3	2	0	2	1	0
Asic4	0	0	0	3	2	0	0	0	5
Asic5	0	9	2	6	2	0	6	8	6
Asl	401	207	344	194	164	134	119	255	194
Asmt	0	0	0	0	0	0	0	0	0
