	Mo.Ly6C-.Bl#1	Mo.Ly6C-.Bl#2	Mo.Ly6C-.Bl#3	Mo.Ly6C-.Bl.KPd17#1	Mo.Ly6C-.Bl.KPd17#2	Mo.Ly6C-.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C-Bl.KPd28#3
Asna1	241	113	207	115	101	63	78	83	115
Asns	4	0	20	13	13	3	10	7	4
Asnsd1	32	27	51	30	30	20	24	31	27
Aspa	6	23	1	11	0	5	9	26	17
Aspdh	2	0	1	4	3	1	1	6	2
Aspg	1	1	0	6	2	0	0	8	0
Asph	620	718	972	799	660	437	364	428	623
Asphd1	5	13	1	0	6	0	6	3	1
Asphd2	1	3	0	11	1	2	0	0	3
Aspm	33	21	53	33	19	10	15	34	11
Aspn	5	8	4	4	8	1	5	5	4
Asprv1	0	0	0	0	1	0	31	0	1
Aspscr1	412	230	188	212	249	177	157	227	224
Asrgl1	147	77	13	87	67	31	33	95	75
Ass1	64	44	4	26	36	18	32	11	30
Aste1	71	99	53	73	90	64	67	66	84
Astl	13	7	4	17	7	11	8	9	5
Astn1	10	31	9	43	8	7	11	25	22
Astn2	6	6	1	5	6	13	5	11	9
Asxl1	351	262	242	447	346	222	224	310	298
Asxl2	476	426	376	402	432	374	278	243	358
Asxl3	6	18	3	48	5	6	14	23	27
Asz1	0	3	0	1	2	0	4	3	0
Atad1	746	621	675	612	609	385	385	602	562
Atad2	237	297	435	349	339	274	237	214	263
Atad2b	233	246	100	348	221	164	216	219	209
Atad3a	200	127	159	125	95	76	76	88	160
Atad5	70	84	38	110	25	36	29	86	50
Atat1	176	100	47	90	108	52	58	45	66
Atcay	5	17	8	2	3	4	2	7	4
Ate1	446	401	386	356	355	350	268	275	358
Atf1	178	123	103	124	120	102	84	111	112
Atf2	342	368	291	490	434	314	285	340	387
Atf3	443	125	183	154	220	110	254	174	148
Atf4	1238	541	506	624	578	457	324	500	495
Atf5	8	0	6	3	1	0	3	2	1
Atf6	940	874	308	866	870	665	571	862	935
Atf6b	300	361	250	375	333	177	238	246	302
Atf7	545	466	273	595	461	385	297	420	375
Atf7ip	1671	1660	902	1926	1975	1242	1128	1248	1529
Atf7ip2	11	20	5	14	6	1	10	18	17
Atg10	165	84	107	68	96	78	61	111	74
Atg101	462	251	230	294	274	203	218	251	230
Atg12	625	405	303	320	289	215	247	283	327
Atg13	301	156	212	234	243	151	173	242	181
Atg14	107	82	132	101	88	67	56	94	88
Atg16l1	425	302	275	407	381	278	291	327	316
Atg16l2	103	89	127	124	94	86	91	68	70
Atg2a	33	68	68	52	69	56	51	66	55
Atg2b	177	178	127	248	193	155	88	164	151
Atg3	1732	874	964	1064	947	793	607	1137	1060
Atg4a	58	38	56	26	37	39	25	45	27
Atg4a-ps	1	3	5	2	4	1	0	3	0
Atg4b	466	351	298	384	319	227	215	298	274
Atg4c	690	615	532	830	674	446	376	474	563
Atg4d	1109	826	126	639	527	509	381	560	463
Atg5	664	451	831	316	470	258	300	281	243
Atg7	669	584	737	675	520	378	379	364	455
Atg9a	185	218	206	282	215	143	149	249	211
Atg9b	8	6	1	2	6	4	7	9	2
Atic	183	102	84	89	66	60	41	69	104
Atl1	8	24	9	22	6	12	10	10	19
Atl2	147	164	99	280	287	162	171	213	200
Atl3	375	408	682	484	526	317	332	554	460
Atm	111	161	151	133	157	156	94	98	176
Atmin	217	153	50	173	162	152	117	156	161
Atn1	7	2	3	1	1	2	4	0	0
Atoh1	1	2	0	0	0	0	2	2	2
Atoh7	0	0	1	0	0	0	3	0	0
Atoh8	0	0	0	0	2	0	2	2	1
Atox1	1221	424	495	377	419	311	278	325	470
Atp10a	25	30	616	33	19	33	18	23	23
Atp10b	4	19	1	10	15	9	18	25	21
Atp11a	48	53	185	85	58	31	51	89	73
Atp11b	442	649	956	627	714	563	531	656	661
Atp11c	120	155	170	210	145	146	160	126	141
Atp12a	2	1	1	3	0	0	6	8	2
Atp13a1	399	541	483	543	536	378	351	468	497
Atp13a2	339	345	644	401	483	358	220	655	588
Atp13a3	193	223	911	249	189	178	175	252	234
Atp13a4	10	17	4	14	27	9	15	22	21
Atp13a5	4	22	5	10	15	4	11	14	11
Atp1a1	2418	655	328	935	1004	734	554	942	915
Atp1a2	5	10	0	7	7	4	3	8	4
Atp1a3	3237	3106	1	3746	3513	2474	1939	1983	2551
Atp1a4	3	7	0	5	0	0	3	6	1
Atp1b1	71	27	1	30	10	37	35	34	16
Atp1b2	1	1	2	3	1	0	0	0	1
Atp1b3	2573	1182	1781	1214	1231	759	1009	1643	1376
Atp1b4	2	8	0	20	2	0	2	0	3
Atp23	35	35	29	15	37	24	12	24	17
Atp2a1	5	7	1	10	7	0	6	5	3
Atp2a2	230	184	292	191	162	154	160	192	192
Atp2a3	407	566	19	659	585	380	530	532	569
Atp2b1	2731	1614	901	1764	1679	1248	1303	1542	1693
Atp2b2	3	29	1	12	12	6	7	20	14
Atp2b3	5	12	1	9	11	4	3	4	4
Atp2b4	189	113	11	180	100	59	49	54	61
Atp2c1	426	1092	793	1219	1096	633	649	874	1029
Atp2c2	3	1	1	2	3	0	4	2	6
Atp4a	3	1	1	1	5	1	4	3	9
Atp4b	1	0	0	0	5	0	0	3	2
Atp5a1	4192	2455	3694	2211	2544	1499	1761	2386	2659
Atp5b	4692	2283	5365	2339	2110	1593	1658	2348	2464
Atp5c1	2978	1255	2059	1252	1045	825	830	1114	1156
Atp5d	1241	554	1095	568	565	430	466	577	585
Atp5e	713	281	426	243	224	202	148	201	220
Atp5f1	2679	1122	1772	1179	1004	754	758	1073	1068
Atp5g1	174	50	168	64	56	46	37	57	70
Atp5g2	46	19	56	31	14	17	13	39	21
Atp5g3	1331	463	1375	424	402	324	273	472	418
Atp5h	563	251	344	185	204	143	150	227	190
Atp5j	1259	459	829	472	418	370	304	347	401
Atp5j2	648	271	377	264	286	187	118	218	208
Atp5k	117	51	108	34	47	25	35	33	37
Atp5l	57	100	42	68	76	46	53	100	62
Atp5o	506	224	411	216	208	152	134	195	208
Atp5s	37	22	73	27	20	17	23	27	8
Atp6ap1	3970	2104	2924	1846	1816	1177	1442	2023	2162
Atp6ap1l	0	9	3	8	1	1	1	0	1
Atp6ap2	1990	1018	3275	1041	1169	650	951	1208	1186
Atp6v0a1	125	202	780	241	135	96	128	160	229
Atp6v0a2	318	338	289	339	328	253	277	330	361
Atp6v0a4	5	17	2	0	13	2	4	8	8
Atp6v0b	1897	661	1486	770	590	443	446	591	650
Atp6v0c	84	56	71	68	29	31	27	71	50
Atp6v0d1	557	432	1034	406	348	316	263	371	443
Atp6v0d2	3	5	16263	4	7	4	6	7	1
Atp6v0e	3092	1172	2761	1168	1027	676	785	881	918
Atp6v0e2	0	6	2	3	4	0	3	3	4
Atp6v1a	1026	891	1963	754	824	494	691	896	832
Atp6v1b1	3	0	0	0	0	0	0	3	3
Atp6v1b2	3159	1715	5735	1969	1808	1280	1256	1621	1791
Atp6v1c1	870	518	1790	497	433	320	315	464	455
Atp6v1c2	5	8	3	1	2	4	2	7	2
Atp6v1d	667	305	825	338	323	272	229	311	278
Atp6v1e1	1961	1078	2251	1010	956	642	587	840	873
Atp6v1e2	1	1	0	0	0	0	0	1	0
Atp6v1f	877	310	758	316	307	211	168	302	302
Atp6v1g1	469	136	700	175	160	129	121	171	208
Atp6v1g2	26	25	26	17	14	14	8	24	27
Atp6v1g3	1	10	0	0	0	2	3	5	1
Atp6v1h	688	443	778	426	438	293	332	371	473
Atp7a	965	791	458	860	884	632	476	659	732
Atp7b	12	7	7	11	10	6	1	12	20
Atp8a1	266	413	299	296	355	289	339	411	323
Atp8a2	12	45	13	35	11	14	13	20	33
Atp8b1	15	15	3	20	11	5	9	16	12
Atp8b2	130	155	14	89	93	46	75	101	127
Atp8b3	1	12	2	13	6	0	2	4	5
Atp8b4	1054	1222	747	1129	896	604	620	840	996
Atp8b5	2	17	6	15	14	7	5	13	13
Atp9a	18	5	12	10	9	10	5	4	11
Atp9b	264	500	517	384	389	289	272	403	371
Atpaf1	27	22	24	18	33	6	6	23	31
Atpaf2	200	93	166	86	82	88	94	140	98
Atpif1	87	45	239	31	26	21	20	47	39
Atr	107	193	101	200	193	174	84	179	171
Atraid	533	200	496	206	170	128	139	220	134
Atrip	20	18	14	22	19	24	9	18	20
Atrn	189	191	214	183	169	114	92	130	135
Atrnl1	14	19	190	11	18	5	42	82	42
Atrx	1461	892	736	809	884	602	686	763	877
Atxn1	34	43	989	31	45	13	35	44	39
Atxn10	979	566	2076	501	675	337	380	412	555
Atxn1l	148	125	97	188	132	114	95	161	144
Atxn2	221	127	101	161	216	152	110	116	163
Atxn2l	719	632	373	795	940	737	298	682	797
Atxn3	134	251	235	292	292	199	251	215	278
Atxn7	217	167	80	178	177	128	121	140	147
Atxn7l1	735	454	327	570	583	361	329	398	458
Atxn7l2	31	54	11	18	35	36	16	35	38
Atxn7l3	81	57	50	79	58	58	37	63	73
Atxn7l3b	626	291	268	230	327	207	196	218	301
Auh	346	249	188	311	238	220	347	398	514
Aunip	1	2	4	5	1	0	2	2	1
Aup1	1425	1018	414	819	755	603	507	642	730
Aurka	40	39	50	44	22	32	17	18	10
Aurkaip1	701	275	447	270	251	228	177	284	243
Aurkb	32	16	159	40	3	13	9	57	28
Aurkc	1	2	0	3	2	0	1	0	0
Auts2	1	0	0	1	0	0	0	0	0
Aven	25	25	12	27	15	18	21	24	25
Avil	3	6	3	7	4	3	5	8	20
Avl9	281	298	132	308	300	235	184	176	273
Avp	0	0	0	0	0	0	0	0	1
Avpi1	50	29	53	45	30	20	44	36	77
Avpr1a	0	4	1	11	0	0	2	4	3
Avpr1b	0	5	0	1	11	3	0	8	1
Avpr2	10	33	4	25	24	22	4	9	21
Awat1	1	0	10	7	0	4	1	0	6
Awat2	3	0	0	10	0	0	4	0	2
