	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C+.Bl#1	Mo.Ly6C-Bl.KPd28#3	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd28#3
Cnnm4	61.0			505.0		168.0	342.0	128.0	375.0	282.0	400.0
Cnot1	202.0			862.0		479.0	833.0	283.0	973.0	748.0	891.0
Cnot10	91.0			336.0		160.0	354.0	110.0	358.0	235.0	398.0
Cnot11	35.0			86.0		26.0	60.0	19.0	57.0	70.0	59.0
Cnot2	135.0			713.0		291.0	547.0	185.0	547.0	503.0	571.0
Cnot3	64.0			434.0		145.0	336.0	81.0	266.0	179.0	197.0
Cnot4	83.0			337.0		151.0	372.0	134.0	296.0	283.0	427.0
Cnot6	55.0			328.0		74.0	217.0	116.0	261.0	215.0	334.0
Cnot6l	140.0			563.0		296.0	558.0	240.0	527.0	488.0	575.0
Cnot7	77.0			463.0		154.0	258.0	142.0	448.0	367.0	317.0
Cnot8	129.0			751.0		291.0	696.0	170.0	511.0	451.0	529.0
Cnot9	59.0			471.0		128.0	416.0	119.0	406.0	239.0	368.0
Cnp	90.0			657.0		267.0	595.0	134.0	355.0	222.0	357.0
Cnppd1	156.0			792.0		297.0	677.0	220.0	725.0	562.0	530.0
Cnpy1	0.0			11.0		8.0	0.0	2.0	6.0	6.0	7.0
Cnpy2	40.0			291.0		119.0	225.0	67.0	159.0	75.0	243.0
Cnpy3	163.0			1167.0		521.0	921.0	257.0	1042.0	723.0	930.0
Cnpy4	27.0			234.0		65.0	143.0	55.0	141.0	100.0	182.0
Cnr1	4.0			14.0		9.0	1.0	2.0	0.0	5.0	5.0
Cnr2	92.0			604.0		201.0	397.0	142.0	418.0	300.0	305.0
Cnrip1	5.0			12.0		4.0	4.0	5.0	9.0	12.0	22.0
Cnst	37.0			193.0		83.0	249.0	43.0	181.0	393.0	285.0
Cntd1	0.0			3.0		0.0	2.0	0.0	4.0	3.0	1.0
Cntf	0.0			0.0		1.0	0.0	0.0	1.0	0.0	1.0
Cntfr	1.0			0.0		1.0	0.0	0.0	0.0	1.0	1.0
Cntln	3.0			74.0		35.0	40.0	7.0	22.0	34.0	62.0
Cntn1	5.0			15.0		6.0	4.0	1.0	3.0	4.0	3.0
Cntn2	1.0			7.0		3.0	4.0	4.0	1.0	1.0	5.0
Cntn3	3.0			11.0		10.0	0.0	0.0	9.0	6.0	5.0
Cntn4	0.0			22.0		20.0	6.0	3.0	3.0	9.0	19.0
Cntn5	6.0			7.0		8.0	0.0	5.0	4.0	4.0	8.0
Cntn6	4.0			17.0		10.0	4.0	4.0	5.0	6.0	5.0
Cntnap1	2.0			23.0		4.0	21.0	8.0	14.0	32.0	22.0
Cntnap2	3.0			9.0		17.0	24.0	1.0	4.0	19.0	17.0
Cntnap3	4.0			5.0		6.0	3.0	3.0	3.0	10.0	3.0
Cntnap4	0.0			9.0		4.0	10.0	1.0	0.0	13.0	3.0
Cntnap5a	6.0			6.0		16.0	3.0	3.0	8.0	17.0	7.0
Cntnap5b	3.0			13.0		6.0	6.0	7.0	4.0	3.0	13.0
Cntnap5c	1.0			21.0		8.0	1.0	4.0	6.0	6.0	12.0
Cntrl	102.0			675.0		260.0	626.0	156.0	659.0	620.0	695.0
Cntrob	7.0			97.0		17.0	43.0	10.0	19.0	41.0	50.0
Coa3	59.0			287.0		134.0	231.0	35.0	140.0	137.0	223.0
Coa4	18.0			203.0		89.0	172.0	46.0	122.0	71.0	84.0
Coa5	256.0			1149.0		590.0	1034.0	381.0	1219.0	715.0	1290.0
Coa6	8.0			47.0		27.0	60.0	14.0	45.0	43.0	54.0
Coa7	15.0			77.0		37.0	90.0	13.0	80.0	40.0	67.0
Cobl	0.0			15.0		5.0	2.0	3.0	1.0	25.0	14.0
Cobll1	5.0			22.0		10.0	15.0	17.0	15.0	15.0	15.0
Coch	0.0			2.0		4.0	7.0	3.0	0.0	6.0	2.0
Cog1	57.0			379.0		213.0	320.0	96.0	266.0	243.0	303.0
Cog2	66.0			352.0		175.0	305.0	122.0	337.0	276.0	325.0
Cog3	61.0			388.0		183.0	424.0	110.0	329.0	167.0	202.0
Cog4	57.0			336.0		151.0	233.0	54.0	282.0	177.0	271.0
Cog5	65.0			390.0		186.0	365.0	107.0	361.0	300.0	375.0
Cog6	42.0			301.0		130.0	246.0	72.0	182.0	164.0	285.0
Cog7	28.0			178.0		95.0	181.0	51.0	158.0	220.0	249.0
Cog8	66.0			325.0		134.0	266.0	82.0	200.0	233.0	251.0
Coil	6.0			111.0		35.0	63.0	18.0	79.0	76.0	57.0
Col10a1	3.0			17.0		19.0	14.0	2.0	37.0	21.0	20.0
Col11a1	3.0			11.0		10.0	7.0	13.0	15.0	20.0	16.0
Col11a2	2.0			31.0		13.0	5.0	5.0	23.0	2.0	8.0
Col12a1	4.0			15.0		17.0	18.0	17.0	24.0	68.0	34.0
Col13a1	1.0			9.0		8.0	4.0	1.0	4.0	8.0	5.0
Col14a1	3.0			19.0		11.0	22.0	7.0	9.0	15.0	558.0
Col15a1	1.0			3.0		3.0	2.0	1.0	8.0	8.0	16.0
Col16a1	0.0			3.0		0.0	4.0	1.0	2.0	4.0	2.0
Col17a1	3.0			29.0		9.0	13.0	5.0	31.0	55.0	6.0
Col18a1	1.0			9.0		3.0	3.0	4.0	0.0	10.0	4.0
Col19a1	2.0			13.0		12.0	5.0	5.0	3.0	2.0	15.0
Col1a1	0.0			1.0		1.0	12.0	2.0	5.0	6.0	7.0
Col1a2	1.0			10.0		12.0	11.0	1.0	7.0	21.0	22.0
Col20a1	7.0			14.0		11.0	20.0	3.0	19.0	3.0	16.0
Col22a1	5.0			16.0		12.0	7.0	5.0	7.0	3.0	8.0
Col23a1	0.0			15.0		2.0	5.0	6.0	6.0	30.0	17.0
Col24a1	2.0			9.0		8.0	7.0	3.0	6.0	7.0	13.0
Col25a1	4.0			14.0		18.0	19.0	7.0	1.0	4.0	7.0
Col26a1	0.0			3.0		6.0	0.0	1.0	0.0	4.0	3.0
Col27a1	11.0			13.0		11.0	12.0	6.0	14.0	11.0	8.0
Col28a1	0.0			10.0		9.0	2.0	2.0	3.0	6.0	4.0
Col2a1	0.0			2.0		6.0	1.0	0.0	6.0	7.0	3.0
Col3a1	4.0			7.0		4.0	11.0	6.0	6.0	13.0	20.0
Col4a1	10.0			58.0		36.0	49.0	12.0	36.0	24.0	37.0
Col4a2	0.0			23.0		4.0	8.0	7.0	4.0	49.0	53.0
Col4a3	0.0			22.0		7.0	7.0	1.0	5.0	13.0	9.0
Col4a3bp	171.0			721.0		362.0	715.0	282.0	645.0	506.0	721.0
Col4a4	4.0			44.0		14.0	22.0	8.0	28.0	39.0	17.0
Col4a5	0.0			2.0		7.0	2.0	3.0	1.0	4.0	18.0
Col4a6	2.0			3.0		4.0	5.0	1.0	2.0	9.0	6.0
Col5a1	0.0			12.0		8.0	7.0	1.0	3.0	8.0	7.0
Col5a2	2.0			14.0		9.0	5.0	8.0	8.0	16.0	12.0
Col5a3	4.0			10.0		5.0	7.0	1.0	2.0	8.0	3.0
Col6a1	1.0			2.0		7.0	1.0	0.0	1.0	6.0	1.0
Col6a2	0.0			3.0		2.0	2.0	1.0	5.0	4.0	2.0
Col6a3	4.0			11.0		1.0	6.0	5.0	5.0	22.0	16.0
Col6a4	2.0			4.0		5.0	11.0	0.0	6.0	13.0	4.0
Col6a5	0.0			11.0		9.0	18.0	2.0	13.0	5.0	5.0
Col6a6	0.0			4.0		6.0	14.0	2.0	13.0	1.0	3.0
Col7a1	6.0			28.0		15.0	9.0	1.0	6.0	6.0	14.0
Col8a1	2.0			1.0		3.0	0.0	2.0	0.0	4.0	9.0
Col8a2	1.0			9.0		3.0	0.0	1.0	0.0	5.0	1.0
Col9a1	0.0			6.0		6.0	7.0	5.0	2.0	6.0	6.0
Col9a2	2.0			5.0		1.0	4.0	2.0	3.0	0.0	1.0
Col9a3	6.0			23.0		20.0	30.0	9.0	32.0	24.0	19.0
Colca2	0.0			0.0		1.0	3.0	0.0	0.0	0.0	0.0
Colec10	7.0			26.0		5.0	16.0	0.0	7.0	6.0	17.0
Colec11	0.0			2.0		3.0	1.0	0.0	0.0	5.0	0.0
Colec12	8.0			105.0		16.0	39.0	11.0	27.0	13.0	145.0
Colgalt1	191.0			851.0		288.0	699.0	199.0	795.0	274.0	1175.0
Colgalt2	0.0			1.0		6.0	0.0	0.0	0.0	6.0	4.0
Colq	2.0			0.0		0.0	2.0	2.0	0.0	6.0	15.0
Commd1	17.0			107.0		49.0	103.0	41.0	85.0	30.0	94.0
Commd10	50.0			279.0		106.0	204.0	84.0	180.0	144.0	327.0
Commd2	46.0			262.0		78.0	206.0	66.0	191.0	103.0	174.0
Commd3	59.0			499.0		205.0	351.0	153.0	346.0	272.0	408.0
Commd4	128.0			719.0		259.0	616.0	162.0	527.0	398.0	524.0
Commd5	12.0			72.0		28.0	81.0	5.0	70.0	36.0	59.0
Commd6	64.0			360.0		154.0	290.0	121.0	300.0	251.0	250.0
Commd7	120.0			587.0		260.0	568.0	175.0	495.0	351.0	461.0
Commd8	231.0			1307.0		528.0	1096.0	344.0	1072.0	450.0	777.0
Commd9	12.0			145.0		42.0	78.0	16.0	116.0	20.0	149.0
Comp	2.0			2.0		8.0	7.0	4.0	4.0	7.0	8.0
Comt	10.0			76.0		18.0	64.0	14.0	56.0	14.0	72.0
Comtd1	4.0			10.0		4.0	4.0	1.0	9.0	6.0	20.0
Cop1	62.0			218.0		137.0	292.0	102.0	318.0	301.0	345.0
Copa	386.0			2379.0		1063.0	1997.0	563.0	1921.0	1581.0	2321.0
Copb1	285.0			1435.0		652.0	1180.0	448.0	1215.0	860.0	1320.0
Copb2	198.0			1092.0		570.0	782.0	249.0	995.0	476.0	930.0
Cope	367.0			2301.0		811.0	1887.0	485.0	2047.0	821.0	1458.0
Copg1	147.0			798.0		340.0	713.0	195.0	819.0	565.0	923.0
Copg2	72.0			367.0		171.0	287.0	104.0	259.0	250.0	205.0
Coprs	3.0			41.0		19.0	35.0	5.0	19.0	8.0	25.0
Cops2	150.0			577.0		294.0	569.0	227.0	654.0	268.0	518.0
Cops3	56.0			339.0		130.0	270.0	96.0	338.0	150.0	282.0
Cops4	121.0			613.0		320.0	448.0	154.0	475.0	317.0	543.0
Cops5	93.0			369.0		158.0	327.0	96.0	481.0	257.0	413.0
Cops6	126.0			790.0		260.0	555.0	162.0	651.0	296.0	630.0
Cops7a	88.0			275.0		97.0	243.0	78.0	197.0	173.0	332.0
Cops7b	18.0			115.0		64.0	141.0	37.0	132.0	139.0	115.0
Cops8	98.0			529.0		198.0	434.0	127.0	557.0	232.0	411.0
Cops9	69.0			413.0		157.0	356.0	93.0	316.0	142.0	313.0
Copz1	267.0			1633.0		696.0	1275.0	306.0	1279.0	582.0	882.0
Copz2	0.0			11.0		8.0	0.0	0.0	10.0	1.0	5.0
Coq10a	7.0			47.0		24.0	38.0	24.0	32.0	13.0	40.0
Coq10b	57.0			191.0		79.0	195.0	67.0	218.0	191.0	508.0
Coq2	22.0			274.0		125.0	223.0	61.0	149.0	202.0	146.0
Coq3	7.0			51.0		16.0	36.0	5.0	38.0	83.0	97.0
Coq4	3.0			44.0		16.0	34.0	3.0	17.0	10.0	29.0
Coq5	27.0			197.0		114.0	155.0	32.0	195.0	199.0	234.0
Coq6	19.0			137.0		44.0	97.0	14.0	102.0	53.0	114.0
Coq7	10.0			47.0		15.0	51.0	22.0	58.0	7.0	73.0
Coq8a	7.0			36.0		31.0	82.0	12.0	93.0	14.0	54.0
Coq8b	23.0			125.0		47.0	78.0	20.0	92.0	22.0	110.0
Coq9	50.0			413.0		151.0	375.0	70.0	382.0	151.0	301.0
Corin	7.0			11.0		17.0	13.0	12.0	5.0	37.0	5.0
Coro1a	3433.0			19008.0		8371.0	14988.0	4378.0	14055.0	10404.0	10114.0
Coro1b	232.0			1260.0		515.0	1040.0	247.0	875.0	496.0	722.0
Coro1c	272.0			1270.0		469.0	941.0	279.0	1159.0	628.0	1149.0
Coro2a	31.0			227.0		61.0	234.0	48.0	260.0	58.0	212.0
Coro2b	2.0			6.0		4.0	8.0	1.0	6.0	8.0	1.0
Coro6	0.0			0.0		2.0	1.0	0.0	2.0	8.0	2.0
Coro7	108.0			937.0		331.0	704.0	185.0	649.0	349.0	651.0
Cort	0.0			2.0		0.0	0.0	0.0	0.0	3.0	0.0
Cotl1	172.0			1826.0		434.0	1908.0	282.0	1325.0	788.0	2738.0
Cox10	23.0			117.0		28.0	82.0	24.0	132.0	96.0	124.0
Cox11	4.0			38.0		17.0	21.0	10.0	25.0	35.0	19.0
Cox14	75.0			391.0		208.0	430.0	104.0	387.0	226.0	290.0
Cox15	78.0			362.0		146.0	307.0	87.0	327.0	169.0	278.0
Cox16	6.0			48.0		28.0	61.0	23.0	42.0	54.0	37.0
Cox17	7.0			133.0		60.0	127.0	31.0	110.0	150.0	248.0
Cox18	21.0			86.0		38.0	72.0	20.0	84.0	75.0	105.0
Cox19	34.0			237.0		83.0	183.0	66.0	190.0	102.0	128.0
Cox20	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Cox4i1	606.0			3356.0		1547.0	3434.0	858.0	3532.0	1158.0	2558.0
Cox4i2	0.0			1.0		0.0	0.0	0.0	1.0	0.0	5.0
Cox5a	39.0			171.0		102.0	146.0	75.0	196.0	90.0	214.0
Cox5b	99.0			535.0		197.0	493.0	134.0	500.0	259.0	444.0
Cox6a1	117.0			682.0		236.0	666.0	140.0	552.0	374.0	573.0
Cox6a2	0.0			0.0		0.0	0.0	0.0	0.0	0.0	8.0
Cox6b1	143.0			991.0		322.0	966.0	227.0	829.0	492.0	871.0
Cox6b2	2.0			35.0		11.0	42.0	7.0	16.0	3.0	11.0
Cox6c	124.0			725.0		318.0	721.0	200.0	643.0	335.0	553.0
Cox7a1	0.0			4.0		1.0	2.0	2.0	2.0	1.0	5.0
Cox7a2	117.0			604.0		235.0	611.0	178.0	525.0	291.0	573.0
Cox7a2l	236.0			949.0		541.0	1030.0	309.0	1142.0	363.0	622.0
Cox7b	108.0			607.0		210.0	589.0	187.0	464.0	223.0	534.0
Cox7b2	0.0			1.0		0.0	0.0	0.0	1.0	0.0	2.0
Cox7c	35.0			193.0		93.0	214.0	44.0	195.0	93.0	179.0
Cox8a	212.0			1108.0		471.0	1212.0	285.0	1042.0	441.0	1093.0
Cox8b	0.0			3.0		0.0	0.0	0.0	3.0	1.0	0.0
Cox8c	0.0			0.0		0.0	1.0	0.0	0.0	0.0	0.0
Cp	14.0			34.0		42.0	26.0	15.0	22.0	67.0	219.0
Cpa1	0.0			2.0		0.0	1.0	1.0	0.0	0.0	3.0
Cpa2	0.0			2.0		4.0	0.0	1.0	0.0	3.0	0.0
Cpa3	0.0			4.0		7.0	3.0	1.0	7.0	0.0	4.0
Cpa4	0.0			3.0		1.0	0.0	0.0	1.0	3.0	5.0
Cpa5	0.0			3.0		5.0	0.0	0.0	2.0	0.0	2.0
Cpa6	3.0			3.0		11.0	2.0	2.0	7.0	3.0	15.0
Cpb1	1.0			1.0		5.0	3.0	1.0	11.0	3.0	1.0
Cpb2	0.0			2.0		0.0	0.0	0.0	2.0	2.0	0.0
Cpd	22.0			177.0		47.0	98.0	53.0	150.0	416.0	598.0
Cpe	2.0			9.0		1.0	5.0	1.0	0.0	5.0	5.0
Cpeb1	5.0			8.0		11.0	5.0	1.0	5.0	6.0	20.0
Cpeb2	15.0			76.0		44.0	55.0	33.0	64.0	75.0	119.0
Cpeb3	6.0			45.0		15.0	16.0	10.0	19.0	9.0	23.0
Cpeb4	37.0			176.0		78.0	160.0	42.0	198.0	117.0	353.0
Cped1	4.0			47.0		28.0	25.0	3.0	31.0	8.0	48.0
Cphx1	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Cphx2	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Cphx3	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Cplx1	0.0			7.0		0.0	0.0	0.0	0.0	2.0	2.0
Cplx2	0.0			0.0		2.0	0.0	1.0	0.0	1.0	0.0
Cplx3	0.0			0.0		2.0	0.0	0.0	0.0	0.0	1.0
Cplx4	0.0			0.0		3.0	0.0	0.0	1.0	0.0	1.0
Cpm	1.0			15.0		8.0	7.0	6.0	13.0	6.0	2.0
Cpn1	0.0			11.0		8.0	4.0	1.0	1.0	7.0	1.0
Cpn2	0.0			2.0		0.0	1.0	0.0	6.0	8.0	0.0
Cpne1	0.0			5.0		0.0	9.0	2.0	1.0	2.0	0.0
Cpne2	3.0			38.0		14.0	31.0	6.0	31.0	14.0	59.0
Cpne3	228.0			918.0		383.0	747.0	353.0	672.0	483.0	777.0
Cpne4	0.0			3.0		2.0	2.0	0.0	6.0	7.0	5.0
Cpne5	0.0			0.0		3.0	15.0	1.0	9.0	1.0	4.0
Cpne6	0.0			0.0		0.0	0.0	0.0	0.0	0.0	2.0
Cpne7	4.0			20.0		2.0	0.0	0.0	6.0	5.0	2.0
Cpne8	2.0			10.0		9.0	1.0	1.0	0.0	15.0	45.0
Cpne9	2.0			10.0		9.0	10.0	4.0	15.0	7.0	26.0
Cpox	8.0			35.0		8.0	20.0	10.0	30.0	19.0	28.0
Cpped1	33.0			133.0		65.0	139.0	43.0	146.0	82.0	184.0
Cpq	41.0			171.0		57.0	163.0	49.0	160.0	15.0	343.0
Cps1	2.0			17.0		14.0	6.0	1.0	12.0	3.0	7.0
Cpsf1	117.0			725.0		243.0	508.0	136.0	551.0	423.0	558.0
Cpsf2	85.0			516.0		200.0	363.0	123.0	312.0	271.0	470.0
Cpsf3	152.0			1026.0		398.0	982.0	230.0	838.0	527.0	775.0
Cpsf4	21.0			221.0		105.0	233.0	53.0	231.0	113.0	146.0
Cpsf4l	1.0			9.0		5.0	12.0	2.0	11.0	7.0	2.0
Cpsf6	210.0			1048.0		479.0	656.0	314.0	950.0	858.0	1071.0
Cpsf7	57.0			332.0		96.0	241.0	85.0	307.0	178.0	261.0
Cpt1a	371.0			1340.0		589.0	1513.0	282.0	1209.0	676.0	1054.0
Cpt1b	0.0			2.0		0.0	0.0	0.0	0.0	3.0	0.0
Cpt1c	0.0			5.0		5.0	2.0	0.0	0.0	11.0	9.0
Cpt2	34.0			167.0		111.0	166.0	40.0	84.0	94.0	111.0
Cptp	38.0			176.0		51.0	64.0	25.0	109.0	81.0	80.0
Cpvl	0.0			1.0		4.0	2.0	0.0	0.0	4.0	2.0
Cpxcr1	0.0			0.0		0.0	3.0	0.0	2.0	4.0	2.0
Cpxm1	2.0			1.0		2.0	10.0	1.0	6.0	1.0	6.0
Cpxm2	2.0			7.0		6.0	6.0	4.0	1.0	6.0	4.0
Cpz	0.0			2.0		0.0	0.0	0.0	2.0	3.0	2.0
Cr1l	139.0			797.0		358.0	691.0	279.0	772.0	687.0	802.0
Cr2	5.0			24.0		8.0	20.0	9.0	13.0	19.0	18.0
Crabp1	0.0			0.0		0.0	1.0	0.0	0.0	0.0	0.0
Crabp2	0.0			1.0		0.0	0.0	0.0	0.0	1.0	0.0
Cracr2a	18.0			100.0		33.0	34.0	14.0	36.0	80.0	62.0
Cracr2b	2.0			22.0		7.0	11.0	2.0	21.0	0.0	51.0
Cradd	9.0			47.0		17.0	83.0	10.0	75.0	41.0	56.0
Cramp1l	24.0			209.0		88.0	205.0	49.0	123.0	139.0	172.0
Crat	54.0			349.0		184.0	306.0	94.0	330.0	55.0	370.0
Crb1	4.0			5.0		11.0	10.0	4.0	6.0	25.0	25.0
Crb2	3.0			13.0		6.0	6.0	3.0	3.0	6.0	4.0
Crb3	0.0			0.0		3.0	0.0	0.0	0.0	0.0	1.0
Crbn	81.0			278.0		134.0	255.0	70.0	310.0	203.0	266.0
Crcp	63.0			357.0		176.0	282.0	99.0	387.0	209.0	236.0
Crct1	0.0			0.0		0.0	0.0	1.0	0.0	0.0	0.0
Creb1	200.0			725.0		305.0	665.0	250.0	597.0	537.0	635.0
Creb3	80.0			538.0		203.0	461.0	126.0	519.0	373.0	445.0
Creb3l1	3.0			3.0		2.0	3.0	2.0	1.0	12.0	13.0
Creb3l2	35.0			130.0		85.0	147.0	41.0	129.0	53.0	122.0
Creb3l3	2.0			6.0		1.0	4.0	6.0	2.0	12.0	5.0
Creb3l4	2.0			3.0		7.0	4.0	1.0	4.0	1.0	2.0
Creb5	11.0			41.0		14.0	21.0	12.0	39.0	11.0	526.0
Crebbp	281.0			1257.0		529.0	1346.0	537.0	1332.0	1099.0	1143.0
Crebl2	9.0			35.0		20.0	65.0	22.0	46.0	137.0	136.0
Crebrf	81.0			233.0		191.0	319.0	102.0	256.0	280.0	335.0
Crebzf	14.0			57.0		30.0	53.0	29.0	61.0	30.0	40.0
Creg1	347.0			1918.0		917.0	1921.0	507.0	1380.0	1424.0	2727.0
Creg2	3.0			30.0		6.0	4.0	2.0	28.0	5.0	45.0
Creld1	7.0			38.0		22.0	38.0	14.0	19.0	30.0	65.0
Creld2	51.0			252.0		118.0	147.0	62.0	175.0	118.0	365.0
Crem	10.0			102.0		35.0	59.0	33.0	68.0	62.0	274.0
Crh	1.0			1.0		0.0	0.0	0.0	0.0	3.0	0.0
Crhbp	1.0			0.0		0.0	0.0	1.0	0.0	2.0	0.0
Crhr1	1.0			4.0		0.0	1.0	0.0	2.0	3.0	0.0
Crhr2	0.0			4.0		6.0	0.0	2.0	5.0	4.0	1.0
Crim1	5.0			18.0		19.0	20.0	7.0	10.0	11.0	19.0
Crip1	858.0			3896.0		1818.0	5749.0	1441.0	2836.0	715.0	2043.0
Crip2	17.0			40.0		20.0	112.0	8.0	33.0	43.0	42.0
Crip3	0.0			1.0		0.0	5.0	0.0	0.0	0.0	1.0
Cript	153.0			696.0		307.0	692.0	239.0	674.0	416.0	511.0
Crisp1	1.0			6.0		7.0	1.0	0.0	0.0	5.0	0.0
Crisp2	0.0			6.0		3.0	1.0	2.0	5.0	1.0	6.0
Crisp3	6.0			2.0		1.0	0.0	0.0	0.0	1.0	4.0
Crisp4	1.0			6.0		3.0	3.0	2.0	1.0	0.0	5.0
Crispld1	2.0			3.0		12.0	10.0	4.0	2.0	14.0	9.0
Crispld2	0.0			12.0		1.0	8.0	1.0	529.0	7.0	7.0
Crk	110.0			952.0		363.0	636.0	175.0	523.0	512.0	523.0
Crkl	91.0			393.0		172.0	309.0	107.0	347.0	239.0	409.0
Crlf1	0.0			0.0		2.0	2.0	0.0	0.0	2.0	0.0
Crlf2	26.0			184.0		62.0	217.0	60.0	191.0	129.0	203.0
Crlf3	240.0			1225.0		515.0	1122.0	347.0	789.0	662.0	897.0
Crls1	5.0			15.0		3.0	10.0	7.0	8.0	21.0	23.0
Crmp1	0.0			0.0		4.0	0.0	6.0	4.0	16.0	3.0
Crnkl1	108.0			398.0		215.0	385.0	125.0	457.0	379.0	423.0
Crnn	1.0			0.0		0.0	0.0	3.0	3.0	0.0	4.0
Crocc	2.0			28.0		9.0	20.0	4.0	4.0	10.0	17.0
Crocc2	0.0			13.0		9.0	4.0	1.0	5.0	13.0	10.0
Crot	89.0			455.0		270.0	396.0	153.0	271.0	372.0	394.0
Crp	0.0			9.0		8.0	5.0	1.0	2.0	7.0	10.0
Crtac1	0.0			2.0		4.0	1.0	0.0	2.0	1.0	3.0
Crtam	8.0			22.0		16.0	5.0	8.0	4.0	16.0	1.0
Crtap	23.0			109.0		36.0	63.0	23.0	64.0	15.0	147.0
Crtc1	19.0			100.0		29.0	92.0	19.0	66.0	108.0	96.0
Crtc2	44.0			217.0		91.0	246.0	63.0	236.0	180.0	157.0
Crtc3	22.0			316.0		76.0	226.0	62.0	235.0	183.0	267.0
Crx	0.0			1.0		2.0	1.0	2.0	4.0	8.0	1.0
Crxos	0.0			0.0		4.0	3.0	0.0	4.0	10.0	3.0
Cry1	43.0			135.0		52.0	163.0	36.0	291.0	56.0	120.0
Cry2	4.0			50.0		31.0	48.0	15.0	68.0	18.0	38.0
Cryaa	2.0			0.0		0.0	5.0	0.0	0.0	0.0	4.0
Cryab	2.0			21.0		5.0	9.0	4.0	22.0	4.0	2.0
Cryba1	2.0			16.0		13.0	1.0	4.0	8.0	8.0	10.0
Cryba2	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Cryba4	6.0			58.0		39.0	70.0	13.0	35.0	4.0	10.0
Crybb1	4.0			13.0		17.0	29.0	6.0	5.0	0.0	1.0
Crybb2	0.0			1.0		3.0	0.0	0.0	1.0	0.0	0.0
Crybb3	0.0			4.0		1.0	0.0	0.0	0.0	0.0	2.0
Crybg1	117.0			846.0		417.0	739.0	159.0	403.0	288.0	233.0
Crybg2	2.0			5.0		3.0	9.0	1.0	5.0	8.0	27.0
Crybg3	49.0			225.0		143.0	230.0	81.0	242.0	245.0	301.0
Cryga	0.0			0.0		0.0	0.0	1.0	1.0	2.0	0.0
Crygb	0.0			1.0		1.0	0.0	0.0	0.0	0.0	0.0
Crygc	0.0			0.0		0.0	3.0	0.0	1.0	0.0	0.0
Crygd	0.0			2.0		1.0	0.0	0.0	0.0	0.0	0.0
Cryge	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Crygf	0.0			0.0		0.0	0.0	0.0	0.0	1.0	1.0
Crygn	1.0			3.0		2.0	4.0	2.0	3.0	8.0	2.0
Crygs	0.0			0.0		3.0	0.0	0.0	0.0	1.0	0.0
Cryl1	62.0			262.0		139.0	265.0	75.0	328.0	177.0	356.0
Crym	1.0			6.0		0.0	1.0	0.0	2.0	2.0	6.0
Cryz	4.0			22.0		11.0	6.0	2.0	14.0	25.0	45.0
Cryzl1	77.0			531.0		210.0	377.0	143.0	329.0	323.0	399.0
Cryzl2	11.0			31.0		27.0	48.0	14.0	30.0	30.0	86.0
Cs	368.0			2048.0		832.0	1837.0	512.0	1681.0	1007.0	1643.0
Csad	16.0			95.0		32.0	120.0	18.0	92.0	27.0	52.0
Csdc2	0.0			2.0		5.0	0.0	2.0	7.0	0.0	3.0
Csde1	553.0			2603.0		1244.0	2627.0	831.0	2434.0	1652.0	3043.0
Cse1l	151.0			711.0		377.0	487.0	233.0	605.0	447.0	791.0
Csf1	2.0			39.0		25.0	32.0	3.0	24.0	16.0	58.0
Csf1r	3471.0			16493.0		7588.0	13801.0	4501.0	11607.0	15070.0	20986.0
Csf2	1.0			0.0		0.0	0.0	1.0	0.0	1.0	1.0
Csf2ra	327.0			1940.0		747.0	1653.0	424.0	1708.0	1127.0	1926.0
Csf2rb	457.0			2844.0		762.0	2251.0	605.0	3024.0	1444.0	3072.0
Csf2rb2	89.0			628.0		155.0	440.0	89.0	720.0	117.0	977.0
Csf3	0.0			1.0		0.0	0.0	0.0	0.0	0.0	0.0
Csf3r	391.0			2643.0		1045.0	1779.0	449.0	1277.0	807.0	809.0
Csgalnact1	3.0			7.0		7.0	5.0	0.0	10.0	5.0	1.0
Csgalnact2	210.0			1219.0		513.0	992.0	332.0	832.0	587.0	363.0
Csk	294.0			1300.0		546.0	1111.0	318.0	684.0	1175.0	1199.0
Csl	1.0			2.0		0.0	0.0	1.0	1.0	2.0	4.0
Csmd1	4.0			42.0		28.0	15.0	9.0	9.0	41.0	35.0
Csmd2	3.0			12.0		12.0	19.0	4.0	17.0	16.0	8.0
Csmd3	4.0			22.0		22.0	19.0	6.0	18.0	27.0	25.0
Csn1s1	3.0			1.0		4.0	1.0	3.0	2.0	2.0	3.0
Csn1s2a	5.0			5.0		5.0	1.0	0.0	1.0	1.0	1.0
