	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C-Bl.KPd28#1	Mo.Ly6C-Bl.KPd28#2	Mo.Ly6C+.Bl#1	Mo.Ly6C-Bl.KPd28#3	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd28#3
Tmem214	57.0			386.0		152.0	304.0	81.0	327.0	250.0	342.0
Tmem215	0.0			7.0		12.0	7.0	0.0	0.0	0.0	1.0
Tmem216	4.0			29.0		2.0	16.0	8.0	25.0	21.0	34.0
Tmem217	0.0			2.0		2.0	0.0	0.0	1.0	4.0	0.0
Tmem218	3.0			9.0		8.0	14.0	7.0	21.0	3.0	62.0
Tmem219	63.0			320.0		154.0	315.0	104.0	304.0	138.0	197.0
Tmem220	4.0			61.0		14.0	40.0	10.0	28.0	30.0	30.0
Tmem221	1.0			14.0		8.0	12.0	4.0	8.0	7.0	36.0
Tmem222	50.0			313.0		118.0	229.0	45.0	313.0	137.0	224.0
Tmem225	0.0			2.0		4.0	4.0	0.0	3.0	1.0	1.0
Tmem229a	0.0			3.0		8.0	3.0	0.0	2.0	5.0	6.0
Tmem229b	91.0			469.0		169.0	418.0	83.0	289.0	425.0	267.0
Tmem230	39.0			203.0		85.0	146.0	57.0	110.0	94.0	170.0
Tmem231	1.0			8.0		7.0	3.0	0.0	6.0	27.0	10.0
Tmem232	5.0			7.0		0.0	0.0	2.0	1.0	4.0	6.0
Tmem233	0.0			2.0		1.0	2.0	1.0	2.0	3.0	0.0
Tmem234	164.0			933.0		453.0	903.0	292.0	968.0	491.0	675.0
Tmem235	0.0			0.0		0.0	2.0	0.0	0.0	0.0	0.0
Tmem236	1.0			4.0		4.0	0.0	3.0	6.0	0.0	4.0
Tmem237	0.0			42.0		8.0	30.0	13.0	19.0	15.0	70.0
Tmem238	0.0			31.0		5.0	21.0	2.0	5.0	6.0	8.0
Tmem238l	1.0			0.0		1.0	0.0	1.0	0.0	0.0	0.0
Tmem239	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Tmem240	2.0			3.0		8.0	6.0	1.0	5.0	8.0	2.0
Tmem241	31.0			171.0		48.0	158.0	47.0	200.0	116.0	161.0
Tmem242	11.0			122.0		58.0	146.0	29.0	149.0	48.0	121.0
Tmem243	26.0			209.0		92.0	105.0	70.0	171.0	149.0	125.0
Tmem245	48.0			240.0		141.0	270.0	80.0	271.0	219.0	280.0
Tmem246	1.0			1.0		1.0	0.0	0.0	1.0	5.0	4.0
Tmem247	0.0			0.0		1.0	0.0	0.0	0.0	0.0	0.0
Tmem248	45.0			338.0		166.0	286.0	58.0	254.0	173.0	228.0
Tmem25	5.0			23.0		5.0	30.0	9.0	11.0	9.0	12.0
Tmem251	25.0			165.0		62.0	93.0	32.0	145.0	43.0	129.0
Tmem252	0.0			1.0		0.0	3.0	0.0	0.0	1.0	1.0
Tmem253	0.0			0.0		0.0	0.0	0.0	5.0	0.0	0.0
Tmem254a	2.0			3.0		0.0	2.0	1.0	1.0	1.0	0.0
Tmem254b	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Tmem254c	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Tmem255a	0.0			8.0		4.0	1.0	0.0	1.0	13.0	0.0
Tmem255b	0.0			0.0		3.0	0.0	2.0	3.0	1.0	4.0
Tmem256	44.0			257.0		75.0	201.0	46.0	224.0	60.0	178.0
Tmem258	64.0			408.0		159.0	413.0	130.0	355.0	199.0	300.0
Tmem259	9.0			95.0		40.0	70.0	37.0	86.0	50.0	46.0
Tmem26	17.0			53.0		51.0	52.0	22.0	10.0	536.0	248.0
Tmem260	20.0			426.0		96.0	257.0	28.0	133.0	102.0	122.0
Tmem262	0.0			0.0		0.0	1.0	0.0	0.0	0.0	0.0
Tmem263	35.0			83.0		28.0	45.0	29.0	62.0	44.0	58.0
Tmem265	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Tmem266	2.0			4.0		3.0	0.0	1.0	2.0	4.0	4.0
Tmem267	3.0			17.0		10.0	6.0	2.0	8.0	6.0	10.0
Tmem268	85.0			726.0		155.0	520.0	104.0	739.0	160.0	389.0
Tmem269	0.0			0.0		1.0	1.0	0.0	1.0	2.0	1.0
Tmem27	0.0			1.0		3.0	0.0	2.0	0.0	0.0	0.0
Tmem270	0.0			0.0		0.0	0.0	0.0	0.0	0.0	0.0
Tmem28	1.0			0.0		0.0	0.0	0.0	0.0	0.0	1.0
Tmem29	9.0			49.0		31.0	65.0	17.0	20.0	54.0	62.0
Tmem30a	274.0			2131.0		904.0	1572.0	472.0	1333.0	614.0	791.0
Tmem30b	0.0			0.0		0.0	2.0	0.0	0.0	0.0	0.0
Tmem30c	1.0			7.0		3.0	1.0	3.0	1.0	0.0	5.0
