	Mo.Ly6C+.Bl#1	Mo.Ly6C+.Bl#2	Mo.Ly6C+.Bl#3	Mo.Ly6C+.Bl.KPd17#1	Mo.Ly6C+.Bl.KPd17#2	Mo.Ly6C+.Bl.KPd17#3	Mo.Ly6C+.Bl.KPd28#1	Mo.Ly6C+.Bl.KPd28#2	Mo.Ly6C+.Bl.KPd28#3
Hdac6	61	11	27	8	15	13	0	60	102
Hdac7	113	55	87	24	107	10	0	78	86
Hdac8	91	41	59	11	42	16	0	72	53
Hdac9	140	81	95	33	130	22	0	59	260
Hdc	14	15	18	14	10	7	0	37	23
Hddc2	77	30	68	20	9	9	0	115	39
Hddc3	5	0	6	0	0	0	0	2	7
Hdgf	380	108	257	75	174	46	0	297	262
Hdgfl1	2	0	0	1	1	0	0	0	2
Hdgfl2	360	148	242	80	227	61	0	340	283
Hdgfl3	168	84	192	49	113	28	0	285	104
Hdhd2	184	71	177	66	75	24	0	119	166
Hdhd3	5	0	0	0	0	1	0	1	3
Hdhd5	178	82	129	38	152	42	0	125	128
Hdlbp	1198	737	1003	350	689	281	0	1416	1436
Hdx	1	1	1	0	5	0	0	0	0
Heatr1	430	169	285	138	272	70	0	457	539
Heatr3	213	82	106	42	129	29	0	192	190
Heatr4	3	5	13	0	8	1	0	5	0
Heatr5a	540	253	570	184	414	123	0	423	521
Heatr5b	236	125	173	86	118	33	0	119	224
Heatr6	364	165	229	77	175	50	1	280	251
Heatr9	20	6	7	0	8	2	0	8	5
Hebp1	14	2	1	0	0	2	0	6	140
Hebp2	0	2	0	3	8	1	0	6	5
Heca	150	78	127	71	181	31	0	171	198
Hectd1	1097	412	810	278	866	209	0	923	947
Hectd2	13	10	5	7	21	2	0	6	26
Hectd3	548	235	456	117	146	96	0	520	278
Hectd4	358	153	327	95	286	91	0	321	365
Hecw1	17	16	2	7	23	6	0	15	18
Hecw2	34	22	21	13	41	8	0	16	35
Heg1	391	152	323	95	1047	46	0	189	639
Helb	201	93	180	62	169	33	0	206	154
Hells	51	15	40	11	64	13	0	24	129
Helq	74	23	66	17	80	6	0	65	71
Helt	7	4	1	0	1	2	0	0	3
Helz	425	166	309	127	312	74	0	215	431
Helz2	698	344	677	150	683	163	0	509	582
Hemgn	6	5	0	0	2	0	0	0	0
Hemk1	40	17	17	6	27	8	0	33	41
Henmt1	5	2	7	1	0	0	0	5	6
Hepacam	4	6	0	0	15	0	0	0	11
Hepacam2	20	21	5	1	9	1	0	9	139
Heph	1	10	5	2	6	2	0	3	8
Hephl1	10	9	11	1	7	1	0	5	5
Herc1	1115	537	976	366	1045	247	0	886	1107
Herc2	506	285	383	123	339	113	0	359	523
Herc3	72	34	82	19	103	8	0	32	57
Herc4	1978	1015	2198	707	2459	480	0	1748	1987
Herc6	187	78	195	50	88	43	0	119	107
Herpud1	1009	523	1147	372	772	260	0	813	1987
Herpud2	236	103	192	56	126	43	0	152	158
Hes1	229	70	96	13	66	14	0	35	27
Hes2	0	0	1	2	0	0	0	0	4
Hes3	0	0	1	0	1	0	0	0	2
Hes5	0	2	0	0	1	0	0	0	1
Hes6	233	88	179	43	58	28	0	189	114
Hes7	0	2	2	0	1	1	0	0	1
Hesx1	1	0	0	2	3	0	0	0	3
Hexa	3662	1475	2919	738	1077	539	0	1893	4215
Hexb	1543	807	1569	473	406	326	0	1096	3273
Hexdc	18	1	20	6	2	0	0	14	29
Hexim1	63	25	62	14	76	13	0	59	69
Hexim2	14	1	5	4	3	0	0	26	14
Hey1	0	1	0	0	6	0	0	0	0
Hey2	14	2	0	2	2	0	0	0	3
Heyl	1	3	0	1	19	0	0	0	7
Hfe	1467	529	957	426	4277	277	0	923	2860
Hfe2	4	0	7	1	0	1	0	0	0
Hfm1	10	0	5	0	13	0	0	13	19
Hgd	6	0	7	4	3	1	0	4	3
Hgf	87	43	83	40	178	24	0	89	264
Hgfac	16	1	1	1	6	1	0	1	7
Hgh1	83	39	66	24	49	9	0	51	83
Hgs	618	226	522	130	406	157	0	626	469
Hgsnat	2854	1137	1820	447	381	277	0	1796	343
Hhat	21	22	10	2	5	2	0	7	19
Hhatl	0	1	4	0	1	0	0	2	0
Hhex	33	21	36	8	22	7	0	25	28
Hhip	5	11	9	2	17	6	0	7	17
Hhipl1	0	3	1	0	4	3	0	0	4
Hhipl2	2	6	1	3	3	0	0	0	1
Hhla1	4	1	2	0	6	0	0	2	3
Hibadh	446	178	384	86	183	62	0	303	343
Hibch	129	72	93	29	82	22	0	116	85
Hic1	15	1	1	0	5	0	0	4	3
Hic2	18	23	18	1	18	2	0	16	22
Hid1	4	3	3	2	0	6	0	15	6
Hif1a	879	287	814	243	437	169	0	1164	1579
Hif1an	167	130	210	57	202	46	0	182	180
Hif3a	6	2	0	1	8	2	0	9	15
Higd1a	141	46	118	32	58	23	0	97	92
Higd1b	3	1	0	1	5	0	0	0	2
Higd1c	0	0	0	0	0	0	0	0	0
Higd2a	489	174	550	142	169	88	0	437	245
Hikeshi	200	76	202	53	145	43	0	136	166
Hilpda	40	18	35	14	16	4	0	47	392
