	Mo.Ly6C+.Lu#1	Mo.Ly6C+.Lu#2	Mo.Ly6C+.Lu#3	Mo.Ly6C+.Lu.KPd17#1	Mo.Ly6C+.Lu.KPd17#2	Mo.Ly6C+.Lu.KPd28#1	Mo.Ly6C+.Lu.KPd28#2	Mo.Ly6C+.Lu.KPd28#3
Atxn1	83	62	32	31	93	101	111	109
Atxn10	562	554	386	373	498	620	603	601
Atxn1l	162	172	113	83	142	99	188	159
Atxn2	174	228	97	95	151	131	158	175
Atxn2l	813	1175	586	338	779	581	714	486
Atxn3	356	371	254	325	325	167	337	363
Atxn7	157	223	172	139	195	171	180	167
Atxn7l1	522	603	318	347	478	539	401	458
Atxn7l2	27	28	17	16	17	30	25	43
Atxn7l3	83	103	50	55	69	38	64	80
Atxn7l3b	380	437	308	353	382	610	457	503
Auh	535	439	266	277	321	723	514	587
Aunip	2	0	0	3	0	1	0	0
Aup1	950	1102	626	689	845	944	894	878
Aurka	29	18	11	9	12	30	2	28
Aurkaip1	382	481	217	273	341	508	430	418
Aurkb	102	88	46	63	109	103	79	134
Aurkc	0	1	2	0	0	0	0	2
Auts2	0	0	0	1	0	0	0	0
Aven	20	30	20	14	19	20	15	16
Avil	12	5	3	5	13	5	5	3
Avl9	195	242	174	220	251	178	218	206
Avp	0	1	0	0	0	0	0	0
Avpi1	55	60	31	42	76	114	46	48
Avpr1a	3	1	1	0	4	0	0	0
Avpr1b	0	5	0	1	0	0	4	3
Avpr2	10	10	13	8	21	9	9	6
Awat1	4	0	5	0	0	0	0	0
Awat2	2	2	0	0	2	15	3	0
Axdnd1	17	8	22	6	31	17	12	17
Axin1	103	106	77	52	79	133	86	85
Axin2	9	13	10	0	6	0	2	2
Axl	192	468	352	421	651	359	486	769
Aym1	0	0	0	0	0	0	0	0
Azgp1	0	3	0	0	2	1	0	0
Azi2	621	809	550	559	595	635	728	775
Azin1	848	648	509	544	600	567	735	839
Azin2	4	4	5	2	6	7	4	8
B020004C17Rik	0	3	2	0	2	0	0	4
B020004J07Rik	2	1	1	0	0	0	5	1
B020011L13Rik	1	1	5	1	1	0	2	3
B020031M17Rik	0	0	0	0	0	0	0	1
B130006D01Rik	37	43	20	24	31	27	52	57
B230104I21Rik	0	0	0	0	0	1	2	0
B230118H07Rik	27	31	18	38	16	38	41	38
B230217C12Rik	14	6	1	5	9	9	7	9
B230219D22Rik	294	406	292	209	369	178	319	358
B230307C23Rik	58	33	40	22	59	43	50	42
B2m	17832	24314	15680	17661	20278	25275	14101	17393
B3galnt1	17	12	1	1	5	6	12	14
B3galnt2	290	302	220	207	324	144	268	278
B3galt1	11	2	3	1	3	0	7	11
B3galt2	69	57	51	34	46	31	57	80
B3galt4	158	178	90	117	167	125	153	145
B3galt5	17	4	5	4	6	0	4	3
B3galt6	45	59	33	47	45	39	90	83
B3gat1	0	0	0	0	2	1	1	2
B3gat2	8	26	8	12	19	10	5	13
B3gat3	45	36	36	36	48	62	55	76
B3glct	49	29	36	16	52	36	26	31
B3gnt2	1	3	3	0	1	2	5	0
B3gnt3	1	18	2	11	6	11	25	6
B3gnt4	0	0	0	0	0	0	0	0
B3gnt5	17	18	5	13	30	161	52	59
B3gnt6	4	2	13	5	5	5	6	9
B3gnt7	4	3	0	1	8	24	59	54
B3gnt8	418	394	150	299	282	138	354	355
B3gnt9	1	1	0	4	4	4	4	7
B3gntl1	116	108	56	68	103	79	107	107
B430218F22Rik	3	0	1	0	1	0	0	0
B430305J03Rik	0	0	0	0	0	0	0	0
B430306N03Rik	322	373	247	173	158	298	408	356
B4galnt1	717	782	667	491	731	805	769	726
B4galnt2	0	0	2	1	4	1	5	5
B4galnt3	0	2	1	3	3	0	3	0
B4galnt4	6	0	1	1	1	0	2	6
B4galt1	762	1089	617	662	893	768	1210	1217
B4galt2	2	1	0	0	2	1	3	1
B4galt3	286	242	130	166	206	219	294	313
B4galt4	93	127	70	75	89	76	21	59
B4galt5	202	313	203	168	205	238	181	168
B4galt6	71	33	18	28	50	106	111	94
B4galt7	137	149	64	99	108	68	123	147
B4gat1	166	109	75	138	163	177	144	162
B630019K06Rik	0	12	5	0	3	2	0	4
B930094E09Rik	3	1	1	0	0	0	2	0
B9d1	1	8	4	0	6	1	9	5
B9d2	205	244	140	176	208	263	234	243
BB014433	0	0	1	0	0	0	1	2
